ui_texture_detail|Detalhe de Texturas:
ui_faq_text|P: O que é ativação?\nR: O sistema de ativação é um método de proteção de cópia baseado na distribuição de uma chave serial única junto com uma cópia do jogo. Você precisa ativar o jogo uma vez em cada computador que deseja jogar o jogo com sua chave de serial. Depois de ativar uma vez, você não precisa fazer mais nada para jogar, nem mesmo manter o disco do jogo no drive. Enquanto tiver sua chave serial, você será capaz de ativar e jogar o jogo facilmente, mesmo depois de muitos anos.\n\nP: Onde posso encontrar minha chave serial?\nR: Cada cópia do jogo incluí uma única chave serial. Vendedores diferentes distribuem as chaves de modos diferentes, mas tipicamente estará anexa ao manual impresso. Se você comprou o jogo pela internet, então o vendedor irá fornecer sua chave serial.\n\nP: Como o processo de ativação funciona?\nR: O jogo cria um valor hash das especificações de seu computador e manda esse valor para um servidor de ativação na internet, junto com sua chave serial. O servidor de ativação registra sua chave serial para seu computador e responde com um número de ativação, que então desbloqueia o modo completo do jogo.\n\nP: Posso ativar o jogo em múltiplos computadores?\nR: Sim, você pode. Mas lembre-se que o jogo está licenciado para seu uso pessoal. O servidor de ativação pode rejeitar uma chave serial temporariamente se for usada por muitos computadores em um breve período de tempo.\n\nP: O programa para de funcionar quando clico no botão de ativação.\nR: Algumas vezes pode levar alguns minutos para continuar o processo de ativação. Seja paciente, o jogo irá eventualmente responder.\n\nP: Meu computador não tem acesso a internet. Como posso ativar o jogo?\nR: Nesse caso, você pode usar a ativação manual. Apenas clique em "Entre com Chave Serial", e então "Ativação Manual". Você ainda precisará abrir a página de ativação manual a partir de outro computador que tenha acesso a internet.\n 
ui_auto_adjust|Auto Ajuste
ui_screen_size|Resolução da Tela:
ui_antialiasing|Antialiasing:
ui_use_desktop_resolution|Use a Resolução da Área de Trabalho
ui_play|Jogar Mount&&Blade Warband
ui_check_for_new_version|Checar por Nova Versão
ui_configure|Configurar
ui_configure_caption|Configurar
ui_mountandblade_website|Site na Internet Mount & Blade Warband
ui_current_setting|Modificação Atual:
ui_manual_activation_text1|1) Em seu navegador da internet, abra o seguinte endereço:
ui_manual_activation_text2|2) Entre com sua chave serial na página que abrir 
ui_manual_activation_text3|3) e o hash da máquina:
ui_manual_activation_text4|4) A página então lhe dará seu código de ativação. Digite ou cole ele abaixo e clique OK.
ui_activation_code|Código de Ativação:
ui_force_vsync|Forçar Vertical Sync.
ui_module_newer_than_application|A modificação que você selecionou foi especificada para NÃO FUNCIONAR com a versão atual do jogo. Aconselha-se que não tente rodá-lo. Para resolver isso, você pode tentar checar por uma versão mais atual do jogo.
ui_module_older_than_application|A modificação que você selecionou foi criada para uma versão mais antiga do jogo e pode não funcionar com a versão atual. Você pode tentar prosseguir, mas há uma chance que você passe por problemas. Para consertar isso, você pode procurar uma versão mais atual da modificação se disponível. 
ui_m_low|Baixo
ui_m_high|Alta
ui_m_ultra_high|Ultra Alto
ui_force_single_threading|Forçar Single Threading
ui_not_enough_memory|Parece que você tem %d MB disponível de memória física e total. Mount&Blade Warband precisa de pelo menos 700 MB de memória disponível para poder rodar sem problemas. Se Mount&Blade Warband der muitos problemas enquanto joga, por favor feche alguns programas antes de começar o jogo ou aumente sua memória virtual no Painel de Controle -> Sistema.
ui_install|Instalar Mount&Blade Warband
DirectXText|"Mount&Blade Warband precisa do DirectX 9.0c ou superior para rodar. Esse computador não cumpre esse requerimento. Para consertar esse problema você precisa baixar e instalar a última versão disponível do DirectX do site da Microsoft. Você gostaria de visitar a página de download do DirectX da TalesWorlds agora?"
NoMountAndBladeText|"Mount&Blade Warband não foi instalado nesse computador. Por favor baixe o instalador completo de www.talesworlds.com e use ele para instalar o jogo."
ui_SavegamesText|"Você quer manter seus jogos salvos?"
ui_trialmode_online|Mount&&Blade Warband está rodando em Modo Teste. Nesse modo você pode jogar livremente até seu personagem atingir o nível 7. Para continuar além disso, você precisa entrar com uma chave serial e ativar o jogo. Se você já adquiriu o jogo, por favor entre com sua chave serial agora. Se você ainda não adquiriu, você pode facilmente fazer isso em Talesworlds.com. Só leva um minuto para comprar uma licença e desbloquear o modo completo.
ui_launch_activate|Entre com Sua Chave Serial
ui_trialmode2_online|Depois de comprar uma licença, você vai obter a chave serial.\nPara desbloquear o modo completo vá para...
ui_trialmode3_online|Ou, se não deseja adquirir o jogo ainda você pode...
ui_trialmode4_online|Nossa loja de vendas online é completamente segura e respeitamos imensamente os direitos de nossos clientes à segurança, privacidade e a manter cópias do jogo e atualizar seu computador/hardware. Se quiser aprender mais sobre nossa política de vendas, por favor visite:
ui_ondemand_textures|Carregar Texturas Sob Demanda
ui_language|Linguagem:
ui_steam_not_running|Steam não pode ser iniciado corretamente. Steam deve estar funcionando para jogar esse jogo.
ui_switch_to_turkish_explanation|Oyunun dilini Turkce'ye cevirmek ister misiniz?
ui_switch_to_turkish_yes|Evet
ui_switch_to_turkish_no|Hayir
ui_new_version_message|Uma versão mais atual do jogo está disponível. Quer visitar a página de download agora?
ui_enable_version_check|Ativar Checador de Versão
ui_disable|Desativar
ui_yes2|Sim
ui_no2|Não
ui_new_version_message2|Uma versão mais atual do jogo está disponível. Por favor visite o portal online de onde você adquiriu o jogo para baixar a versão mais recente.
