skl_trade|ვაჭრობა
skl_horse_archery_desc|გიზრდით ზიანის მიყენებას და ზუსტობას მშვილდის სროლისა და სატყორცნი იარაღების გამოყენებისას ამხედრებულზე. (პერსონალური შესაძლებლობა)
skl_riding|ჯირითი
skl_riding_desc|გხდით გაცილებით გამოცდილ მოჯირითეს და გიზრდით ჯირითის სისწრაფეს , რაც იმას ნიშნავს რომ შეგეძლებათ უფრო კარგ ცხენებზე ამხედრება. (პერსონალური შესაძლებლობა)
skl_athletics|ათლეტურობა
skl_athletics_desc|გიზრდით სირბილის სისწრაფეს. (პერსონალური შესაძლებლობა)
skl_shield|ფაროსნობა
skl_shield_desc|ფარზე მტრების მიერ მიყენებულ ზიანს ამცირებს (8%%ით ამ შესაძლებლობის ყოველ საფეხურზე) ასევე აუმჯობესებს ფარის სისწრაფეს და დამცავობას. (პერსონალური შესაძლებლობა)
skl_weapon_master|იარაღის ოსტატობა
skl_weapon_master_desc|უფრო ადვილს ხდის იარაღის პროფესიულობის შესწავლას და ზრდის პროფესიულობის ლიმიტებს. ლიმიტები იზრდება შემდეგნაირად: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420 . (პერსონალური შესაძლებლობა)
skl_reserved_9|სარეზერვო შესაძლებლობა 9
skl_reserved_9_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_10|სარეზერვო შესაძლებლობა 10
skl_reserved_10_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_11|სარეზერვო შესაძლებლობა 11
skl_reserved_11_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_12|სარეზერვო შესაძლებლობა 12
skl_reserved_12_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_13|სარეზერვო შესაძლებლობა 13
skl_reserved_13_desc|ეს სარეზერვო შესაძლებლობაა.
skl_power_draw|მშვილდის მოქაჩვა
skl_power_draw_desc|ეს შესაძლებლობა თქვენს პერსონაჟს უფლებას აძლევს გამოიყენოს გაცილებით ძლიერი მშვილდები (ყოველი ოთხი ამ შესაძლებლობის საფეხური) ასევე ზრდის მშვილდით მიყენებულ ზიანს 14%%ით. (პერსონალური შესაძლებლობა)
skl_power_throw|გასტყორცნის სიმძლავრე
skl_power_throw_desc|ყოველი ამ შესაძლებლობაში ჩადებული ქულა გასტყორცნით მიყენებულ ზიანს გიზრდით 10%%ით . (პერსონალური შესაძლებლობა)
skl_power_strike|ჩარტყმის სიმძლავრე
skl_power_strike_desc|ყოველი ამ შესაძლებლობაში ჩადებული ქულა გიზრდით ცივი იარაღით მიყენებულ ზიანს 8%%ით. (პერსონალური შესაძლებლობა)
skl_ironflesh|რკინის გამძლეობა
skl_ironflesh_desc|ყოველი ამ შესაძლებლობაში ჩადებული ქულა გიზრდით სიცოცხლეს +2 ით. (პერსონალური შესაძლებლობა)
skl_reserved_14|სარეზერვო შესაძლებლობა 14
skl_reserved_14_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_15|სარეზერვო შესაძლებლობა 15
skl_reserved_15_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_16|სარეზერვო შესაძლებლობა 16
skl_reserved_16_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_17|სარეზერვო შესაძლებლობა 17
skl_reserved_17_desc|ეს სარეზერვო შესაძლებლობაა.
skl_reserved_18|სარეზერვო შესაძლებლობა 18
skl_reserved_18_desc|ეს სარეზერვო შესაძლებლობაა.
