ui_music_volume|Musikvolym:
; ui_reclaim_your_sold_goods|Reclaim your sold goods before buying that!
; ui_return_your_bought_goods|Return your bought goods before selling that!
; ui_polearm_no_shield|Polearm (No shield)
; ui_polearm|Polearm
ui_two_handed|Tvåhandad
ui_two_handed_one_handed|Tvåhandad/Enhandad
ui_one_handed|Enhandad
; ui_return_price|Return price: %d
; ui_sell_price|Sell price: %d
; ui_reclaim_price|Reclaim price: %d
; ui_buying_price|Buying price: %d
; ui_default_item|Default item
ui_buying_price_free|Köppris: Gratis
; ui_weight|Weight: %2.1f
; ui_plus_value_to_head_armor|+%d to head armor
; ui_plus_value_to_body_armor|+%d to body armor
; ui_plus_value_to_leg_armor|+%d to leg armor
; ui_swing|Swing: %d%s
; ui_damage|Damage: %d%s
; ui_thrust|Thrust: %d%s
; ui_accuracy|Accuracy: %d
; ui_speed_rating|Speed rating: %d
; ui_value_to_damage|%c%d to damage
; ui_value_to_morale|+%1.1f to party morale
; ui_resistance|Resistance: %d
; ui_size|Size: %d
; ui_weapon_reach|Weapon reach: %d
; ui_armor|Armor: %d
; ui_speed|Speed: %d
; ui_maneuver|Maneuver: %d
; ui_charge|Charge: %d
; ui_hit_points|Hit Points: %d/%d
; ui_requires_value_difficulty|Requires %s: %d
; ui_bonus_against_shields|Bonus against shields
; ui_cant_be_used_to_block|Can't be used to block
; ui_troop_cant_use_item|%s: I can't use that item!
; ui_notification_riding_skill_not_enough|Your riding skill is not high enough to mount this horse.
; ui_notification_requirements_not_met|You don't have the required skills or attributes for this weapon.
; ui_notification_payment_value|You must pay %s.
; ui_notification_payment_receive_value|You will receive %s.
ui_one_handed_weapons|Enhandade vapen
ui_two_handed_weapons|Tvåhandade vapen
; ui_polearms|Polearms
ui_archery|Bågskytte
ui_crossbows|Armborstar
ui_throwing|Kastning
ui_firearms|Eldhandvapen
ui_reset|Återställ
ui_release_one|Släpp en
; ui_move_up|Move Up
; ui_move_down| Move Down 
ui_upgrade_one|Uppgradera en
ui_party_skills|Gruppmedlemmars färdigheter
; ui_morale|Morale: %s
ui_terrible|Horribel
ui_very_low|Väldigt låg
ui_low|Låg
ui_below_average|Under genomsnittet
ui_average|Genomsnittlig
ui_above_average|Över genomsnittet
ui_high|Hög
ui_very_high|Väldigt hög
ui_excellent|Perfekt
; ui_starving|Starving! %d%%
; ui_weekly_cost_value|Weekly cost: %s
; ui_company|Company: %d / %d
; ui_prisoners_equal_value|Prisoners: %d / %d
ui_choose_prisoners|Välj fångar
ui_choose_companions|Välj kompanjoner
ui_rescued_prisoners|Räddade fångar
ui_captured_enemies|Fångade fiender
; ui_disband|Disband
ui_take_prisoner|Ta tillfånga
ui_take_back|Ta tillbaka
ui_give|Ge
ui_take|Tag
ui_sell|Sälj
ui_hire|Hyr
; ui_notification_cant_hire|(Can't hire: not enough money)
ui_uncapture|Släpp
ui_capture|Tillfångata
; ui_party_capcity_reached|(Party capacity reached)
ui_all|Alla
; ui_joining_cost_weekly_wage|Joining cost: %d, Weekly wage: %d
; ui_weekly_wage|Weekly wage: %d denars
; ui_price|Price: %d
; ui_number_ready_to_upgrade|%d ready to be upgraded.
; ui_upgrade_to_value| Upgrade to %s (%dd)
; ui_notification_no_slot_for_upgrade|No slot for upgrading to %s!
ui_shield_broken|Sköld trasig
ui_shield_cracked|Sköld sprucken.
; ui_shield_deformed|Shield deformed.
; ui_you_hit_a_friendly_troop|You hit a friendly troop!
; ui_hit_shield_on_back|Hit shield on back!
; ui_delivered_couched_lance_damage|Delivered couched lance damage!
; ui_received_couched_lance_damage|Received couched lance damage!
; ui_speed_bonus_plus|Speed bonus: +%d%%
; ui_speed_bonus|Speed bonus: %d%%
; ui_cant_reload_this_weapon_on_horseback|Can't reload this weapon on horseback.
ui_no_more_bolts|Inga fler skäktor...
ui_you_are_not_carrying_any_bolts|Du har inga skäktor.
ui_no_more_arrows|Inga mer pilar...
ui_you_are_not_carrying_any_arrows|Du har inga pilar.
ui_head_shot|Huvudträff!
; ui_delivered_number_damage|Delivered %d damage.
; ui_delivered_number_damage_to_horse|Delivered %d damage to horse.
; ui_horse_charged_for_number_damage|Horse charged for %d damage.
; ui_received_number_damage|Received %d damage.
; ui_horse_received_number_damage|Horse received %d damage.
; ui_value_killed_teammate|%s has killed a teammate!
; ui_horse_fell_dead|Horse fell dead...
; ui_horse_crippled|Horse crippled...
; ui_shot_difficulty|Shot difficulty: %2.1f
; ui_you_have_improved_your_proficiency_in_value_to_number|You have improved your proficiency in %s to %d.
; ui_your_proficiency_in_value_has_improved_by_number_to_number|Your proficiency in %s has improved by +%d to %d.
; ui_value_killed_by_value|%s killed by %s.
; ui_value_fell_dead|%s fell dead.
; ui_value_knocked_unconscious_by_value|%s knocked unconscious by %s.
; ui_value_fell_unconscious|%s fell unconscious.
; ui_troop_routed|%s has been routed.
; ui_troop_panicked|%s has panicked.
; ui_troop_fled|%s has fled the battle.
; ui_you_got_number_experience|You got %d experience.
; ui_you_have_advanced_to_level_number|You have advanced to level %d.
; ui_value_has_advanced_to_level_number|%s has advanced to level %d.
; ui_you_got_value|You got %s.
; ui_new_quest_taken|New quest taken: %s.
; ui_quest_completed_value|Quest completed: %s.
; ui_quest_succeeded_value|Quest succeeded: %s.
; ui_quest_failed_value|Quest failed: %s.
; ui_quest_concluded_value|Quest concluded: %s.
; ui_quest_cancelled_value|Quest cancelled: %s.
; ui_lost_value| (Lost: %s)
ui_items_lost|(Förlorade föremål:
ui_party_has_nothing_to_eat|Ditt följe har inget att äta!
; ui_days_training_is_complete|Day's training is complete...
; ui_total_experience_gained_through_training_number|Total experience gained through training: %d
ui_some_soldiers_are_ready_to_upgrade|Några soldater är redo för uppgradering.
; ui_number_of_companions_exceeds_leadership_limit| Number of companions exceeds leadership limit.
; ui_number_of_prisoners_exceeds_prisoner_management_limit| Number of prisoners exceeds prisoner management limit.
; ui_party_morale_is_low| Party morale is low!
ui_and_one_space|och
ui_has_deserted_the_party|Har deserterat från gruppen.
ui_have_deserted_the_party|har deserterad från gruppen.
ui_weekly_report|Veckorapport
; ui_shared_number_experience_within_party|Shared %d experience within party.
; ui_got_item_value|Got item: %s.
ui_game_saved_successfully|Sparning lyckad.
ui_autosaving|Autosparar...
ui_quick_saving|Snabbsparar...
ui_cant_quick_save|Kan inte snabbspara under strid...
; ui_screenshot_taken_to_value|Screenshot is saved to %s
ui_screenshot_failed|Kan inte spara skärmdump.
; ui_value_joined_your_party|%s joined your party.
; ui_value_joined_party_as_prisoner|%s joined party as prisoner.
; ui_value_has_joined_party|%s has joined party.
; ui_value_has_been_taken_prisoner|%s has been taken prisoner.
; ui_value_left_the_party|%s left the party.
; ui_number_values_left_the_party|%d %s(s) left the party.
; ui_number_value_left_the_party|%d %s left the party.
; ui_your_relations_with_value_has_improved_from_number_to_number|Your relations with %s has improved from %d to %d.
; ui_your_relations_with_value_has_deteriorated_from_number_to_number|Your relations with %s has deteriorated from %d to %d.
; ui_you_lost_value|You lost %s.
; ui_lost_item_value|Lost item: %s.
; ui_got_number_value|Got %d %s.
; ui_lost_number_value|Lost %d %s.
; ui_set_default_keys|Set default keys
; ui_undo_changes|Undo changes
; ui_press_a_key|Press a key
; ui_return_to_game|Return to Game
; ui_options|Options
; ui_save_and_exit|Save & Exit
ui_save|Spara
ui_save_as|Spara som
ui_quit_without_saving|Lämna utan att spara
; ui_empty_slot|Empty Slot
ui_game_saved|Spel sparat...
; ui_confirm_overwrite|Savegame for %s will be overwritten. Are you sure?
ui_dynamic_lighting|Dynamiskt ljus
ui_character_shadows|Karaktärsskuggor
; ui_grass_density|Grass Density:
; ui_environment_shadows|Environment Shadows
; ui_realistic_shadows_on_plants|Realistic Shadows on Plants:
; ui_particle_systems|Particle Systems
; ui_gamma|Monitor Gamma:
; ui_character_detail|Character Detail:
; ui_character_shadow_detail|Character Shadow Detail:
ui_blood_stains|Blodfläckar:
ui_on|På
ui_off|Av
ui_near_player_only|Endast nära spelaren
; ui_default|Default
ui_3d_grass|3D-gräs:
; ui_number_of_ragdolls|Number of Rag Dolls:
ui_number_of_corpses|Antal kroppar:
ui_unlimited|Oändligt
; ui_anisotropic_filtering|Anisotropic Filtering
; ui_fast_water_reflection|Fast Water Reflections
; ui_maximum_framerate|Max. Frame-rate:
; ui_show_framerate|Show Frame-rate:
; ui_estimated_performance|Estimated Performance: %d%%
; ui_change_graphics_settings_explanation|Some changes you have made will take effect when you enter a new area.
ui_start_tutorial|Spela genomgång
ui_start_a_new_game|Starta nytt spel
ui_restore_a_saved_game|Ladda spel
ui_exit_to_windows|Lämna
; ui_credits|Credits
; ui_version_value|v%s
ui_active_quests|Aktiva uppdrag
ui_finished_quests|Avklarade uppdrag
; ui_given_on_date|Given on: %s
; ui_days_since_given|Days since given: %d
; ui_quest_progression_number|Quest progression: %d%%
ui_too_many_quests|För många uppdrag
ui_ok|OK
ui_move_forward|Rör dig framåt
ui_move_backward|Rör dig bakåt
ui_move_left|Rör dig åt vänster
ui_move_right|Rör dig åt höger
; ui_action|Action
ui_jump|Hoppa
ui_attack|Attackera
; ui_parry_then_attack|Counter Attack
ui_defend|Försvara
ui_kick|Sparka
; ui_equip_weapon_1|Equip Item 1
; ui_equip_weapon_2|Equip Item 2
; ui_equip_weapon_3|Equip Item 3
; ui_equip_weapon_4|Equip Item 4
; ui_equip_next_weapon|Equip Next Weapon
; ui_equip_next_shield|Equip Next Shield
; ui_sheath_weapon|Sheath Weapon
ui_character_window|Karaktärsmeny
ui_inventory_window|Inventariemeny
; ui_party_window|Party Window
ui_quests_window|Uppdragsmeny
; ui_game_log_window|Game Log Window
; ui_leave_location_retreat|Leave Location/Retreat
ui_zoom|Zooma
; ui_view_outfit|View Outfit
; ui_toggle_first_person_view|Toggle First Person View
; ui_view_orders|View Orders
ui_quick_save|Snabbspara
ui_no_key_assigned|Ingen tangent angiven
ui_new_enemies_have_arrived|Nya fiender har anlänt
ui_reinforcements_have_arrived|Förstärkning har anlänt.
; ui_report_casualties|Report Casualties
; ui_report_experience|Report Experience
; ui_current_level_value|Current Level: %d
; ui_base_attribute_value|Base Attribute: %s
ui_battle_controls|Stridskontroller
ui_map_controls|Kartkontroller
ui_general_controls|Allmänna kontroller
ui_zoom_in|Zomma in
ui_zoom_out|Zooma ut
ui_wait|Vänta
ui_take_screenshot|Tag skärmdump
; ui_randomize|Randomize
; ui_hint|Hint
; ui_press_left_mouse_button_to_continue|Press left mouse button to continue...
; ui_loot|Loot
ui_chest|Kista
; ui_cut_short|c
; ui_pierce_short|p
; ui_blunt_short|b
ui_battle|Strid
ui_siege|Belägring
ui_troops|Trupper:
; ui_loading_module_info_file|Loading Module Info File...
; ui_processing_ini_file|Processing INI File...
ui_loading_music|Laddar musik...
ui_loading_data|Laddar data...
; ui_loading_setting_data|Loading Setting Data...
; ui_loading_textures|Loading Textures...
ui_finished|Färdigställt.
ui_creating_game|Skapar spel...
; ui_loading_savegame_file|Loading Savegame File...
; ui_loading_map_file|Loading Map File...
ui_initializing_map|Initierar karta...
ui_launching_game|Laddar sparning...
ui_capital_battle|STRID:
ui_capital_versus|-MOT-
; ui_tracks|Tracks
; ui_battleground|Battleground
; ui_order_1|Select Order 1
; ui_order_2|Select Order 2
; ui_order_3|Select Order 3
; ui_order_4|Select Order 4
; ui_order_5|Select Order 5
; ui_order_6|Select Order 6
; ui_order_button_hold_this_position|Hold this position
ui_order_button_follow_me|Följ mig
ui_order_button_charge|Anfall
; ui_order_button_stand_ground|Stand ground
ui_order_button_retreat|Reträtt
; ui_order_button_advance|Advance ten paces
; ui_order_button_fall_back|Fall back ten paces
ui_order_button_spread_out|Sprid ut er
; ui_order_button_stand_closer|Stand closer
; ui_order_button_mount_horses|Mount horses
; ui_order_button_dismount|Dismount
; ui_order_button_hold_fire|Hold your fire
; ui_order_button_fire_at_will|Fire at will
; ui_order_button_use_blunt_weapons|Use only blunt weapons
; ui_order_button_use_any_weapon|Use weapons at will
; ui_order_button_movement_orders|Movement orders
; ui_order_button_formation_orders|Formation orders
; ui_order_button_fire_orders|Fire orders
; ui_follow_me_e_|%s, follow me!
; ui_charge_e_|%s, charge!!!
; ui_stand_ground_e_|%s, stand ground!
; ui_retreat_e_|%s, retreat!
; ui_mount_horses_e_|%s, mount horses!
; ui_dismount_e_|%s, dismount!
; ui_advance_e_|%s, advance ten paces!
; ui_fall_back_e_|%s, fall back ten paces!
; ui_stand_closer_e_|%s, stand closer!
; ui_spread_out_e_|%s, spread out!
; ui_use_blunt_weapons_e_|%s, use only blunt weapons!
; ui_use_any_weapon_e_|%s, use weapons at will!
; ui_hold_fire_e_|%s, hold your fire!
; ui_fire_at_will_e_|%s, fire at will!
; ui_hold_this_position_e_|%s, hold this position!
ui_infantry|Infanteri
ui_archers|Bågskyttar
ui_cavalry|Kavalleri
ui_companions|Kompanjoner
ui_everyone_hear_me|Allihopa, hör upp!
ui_everyone|Allihopa
; ui_everyone_around_me|Nearby Soldiers
; ui_str_hear_me|%s, hear me!
; ui_str_and_str|%s and %s
; ui_str_comma_str|%s, %s
; ui_need_to_learn_prisoner_management|You need to learn Prisoner Management skill in order to take prisoners.
; ui_game_log|Game Log
; ui_recent_messages|Recent Messages
; ui_custom_battle|Custom Battle
ui_player|Spelare
; ui_value_denars|%d denars
ui_back|Bakåt
ui_forward|Framåt
ui_display_on_map|Visa på karta
ui_info_pages|Spelkoncept
ui_troops2|Karaktärer
ui_locations|Platser
; ui_click_button_to_view_note|Click on a link to view the notes
; ui_this_page_contains_no_information|This page contains no information
; ui_other_pages_that_link_here|Other pages that link here: 
; ui_report_is_value_days_old| (Report is %d days old)
; ui_report_is_current| (Report is current)
; ui_button_party_member_healthy_total|%s (%d/%d)
; ui_button_party_member_total|%s (%d)
; ui_button_party_member_hero_percentage_wounded|%s (%d%% - Wounded)
; ui_button_party_member_hero_percentage|%s (%d%%)
; ui_percentage_value|%d%%
; ui_full|Full
; ui_quick|Quick
; ui_none|None
; ui_change|Change
; ui_how_to_change|How to change this?
; ui_change_directx_explanation|You can change the render method between DirectX 7 and DirectX 9 by clicking on the Configure button at the launch menu that comes up when you first start the game.
; ui_dropping_picking_up|Dropping %s; picking up %s.
; ui_dropping|Dropping %s.
; ui_picking_up|Picking up %s.
; ui_unable_to_take|Unable to take that.
ui_age|Ålder
; ui_cannot_be_used_on_horseback|Cannot be used on horseback
; ui_enable_vertex_shaders2|Render Method:
; ui_screen_size2|Screen Resolution:
; ui_use_desktop_resolution2|Use Desktop Resolution
; ui_shadow_quality2|Shadow Quality:
; ui_m_low2|Low
; ui_m_high2|High
; ui_m_ultra_high2|Ultra High
; ui_off2|Off
; ui_group_header|Class of troop
; ui_group_rename|Rename group
ui_group_1|Infanteri
ui_group_2|Bågskyttar
ui_group_3|Kavalleri
; ui_group_4|Unnamed 1
; ui_group_5|Unnamed 2
; ui_group_6|Unnamed 3
; ui_group_7|Unnamed 4
; ui_group_8|Unnamed 5
; ui_group_9|Unnamed 6
; ui_group_rename|Rename group
ui_group_close|Stäng
; ui_party_b_group_information|%s belongs to %s group
; ui_thrown_or_s|Thrown/%s
; ui_ranged_damage|Ranged: %d%s
; ui_overall_quality|Overall Quality
; ui_shader_quality|Shader Quality:
; ui_flora_lod_detail|Tree Detail:
; ui_flora_degrade_distance|Tree Degrade Distance:
; ui_antialiasing|AntiAliasing:
; ui_use_depth_effects|Use Depth Effects
; ui_hdr_mode|HDR Mode:
; ui_autoexpore|Auto-exposure
ui_choose_profile|Välj profil
ui_create|Skapa
; ui_edit|Edit
ui_join_game|Anslut till ett spel
ui_host_game|Håll i ett spel
; ui_custom|Custom
; ui_medium|Medium
ui_male|Man
ui_female|Kvinna
ui_gender|Välj kön:
; ui_edit_profile|Edit Profile
ui_new_profile|Ny profil
ui_enter_username|Ange användarnamn:
; ui_invalid_username|Usernames may only contain letters, numbers or _ - * [ ] ~ characters.
ui_confirmation|Är du säker?
ui_multiplayer|Flerspelarläge
ui_server_name|Server
ui_module_name|Modul
ui_game_type|Speltyp
ui_map_name|Karta
ui_ping|Ping
; ui_dedicated|Dedicated
ui_number_of_players|Spelare
ui_password_protected|Lösenord
ui_connect|Anslut
; ui_local_area_network|Local Area Network
ui_internet|Internet
ui_favorites|Favoriter
ui_source|Källa:
ui_server_password|Serverlösenord:
; ui_refresh|Refresh
; ui_start_search|Start Search
ui_add_to_favorites|Lägg till i favoriter
ui_remove_from_favorites|Ta bort från favoriter
; ui_use_speedtree|Use Speedtree
; ui_use_instancing|Use Instancing
; ui_error|Error
ui_error_server_full|Servern är full.
; ui_error_server_full_for_non_private|Server is full for players without a private member password.
ui_error_server_password_incorrect|Fel lösenord.
ui_error_incorrect_serial|Fel serienummer.
ui_error_incorrect_authorization_key|Fel auktoriseringsnyckel.
ui_error_banned_from_server|Du är bannlyst från denna servern.
ui_error_username_taken|Ditt användarnamn används av någon annan.
ui_error_authentication_failed|Autentisering misslyckad.
ui_unable_to_connect_to_server|Kunde inte ansluta till servern.
ui_connection_to_server_is_lost|Serveranslutning tappad.
ui_kicked_from_server|Sparkad från servern.
; ui_switch_to_module_question|This server is running another module than the one you are currently running. Do you want Mount&Blade to switch to this module?
; ui_download_module_question|This server is running a module that is not installed on your computer. Would you like to visit the download site for this module now?
; ui_download_mb_new_version_question|This server is running a newer version (%d.%d%d%d) of Mount&Blade than the one you are currently running (%d.%d%d%d). Would you like to visit TaleWorlds download site now?
; ui_download_mb_old_version_question|This server is running an older version (%d.%d%d%d) of Mount&Blade and than the one you are currently running (%d.%d%d%d).
; ui_download_module_new_version_question|This server is running a newer version (%d.%d%d%d) of the current module than the one you are running (%d.%d%d%d). Would you like to visit the download site for this module now?
; ui_download_module_old_version_question|This server is running an older version (%d.%d%d%d) of the current module than the one you are running (%d.%d%d%d).
ui_authenticating_with_steam|Autentiserar med Steam...
