ui_texture_detail|Texturdetail:
; ui_trialmode_online|Mount&&Blade Warband is currently running in Trial Mode. In this mode you can play the game freely until your character reaches level 7. To continue further, you need to enter a serial key and activate the game. If you have already purchased the game, please enter your serial key now. If not you may easily purchase the game from Taleworlds.com. It takes only a minute to buy a license online and unlock the complete mode.
; ui_launch_activate|Enter Your Serial Key
; ui_trialmode2_online|After buying a license, you will obtain your serial key.\nTo unlock the full mode just proceed to...
; ui_trialmode3_online|Or, if you don't wish to purchase the game yet you can also...
; ui_trialmode4_online|Our online sales process is fully secure and we greatly respect our customers' rights to security, privacy, having backup copies of their game and upgrading their computers/hardware. If you'd like to learn more about our sales policy, please take a look at:
; ui_ondemand_textures|Load Textures On Demand
; ui_language|Language:
; ui_steam_not_running|Steam could not be initialized properly. Steam must be running to play this game.
; ui_switch_to_turkish_explanation|Oyunun dilini Turkce'ye cevirmek ister misiniz?
; ui_switch_to_turkish_yes|Evet
; ui_switch_to_turkish_no|Hayir
; ui_new_version_message|A newer version of the game is available. Do you wish to visit the download page now?
; ui_enable_version_check|Enable Version Check
; ui_disable|Disable
; ui_yes2|Yes
; ui_no2|No
; ui_new_version_message2|A newer version of the game is available. Please visit the online portal you purchased the game from to download the new version.
