str_no_string|NO STRING!
str_order_attack_failure|Osservi la battaglia non riuscendo a credere alla facilità con la quale il nemico decima i tuoi uomini, facendo fuggire i pochi superstiti.
str_order_attack_continue|Nonostante numerosi tentativi, le tue truppe non riescono ad ottenere una vittoria decisiva.
str_join_order_attack_success|I tuoi uomini combattono bene a fianco degli alleati, dividendosi la gloria di una vittoria sul nemico.
str_join_order_attack_failure|Osservi la battaglia non riuscendo a credere alla facilità con la quale il nemico ha decimato i tuoi uomini , facendo fuggire i pochi superstiti.
str_join_order_attack_continue|Nonostante numerosi tentativi, né le tue truppe né quelle alleate riescono ad ottenere una vittoria decisiva.
str_siege_defender_order_attack_success|Le guardie difendono le mura con abilità e coraggio, respingendo ogni attacco nemico e trasformando una probabile sconfitta in vittoria certa!
str_siege_defender_order_attack_failure|L'assalto si trasforma subito in un bagno di sangue. Ogni sforzo è vano: la guarnigione, soverchiata, non riesce a tenere le mura e il nemico passa a fil di spada i difensori fino all'ultimo uomo.
str_siege_defender_order_attack_continue|Ripetuti e sanguinosi attacchi alle mura non hanno prodotto risultati utili, ci sono ancora troppi nemici in difesa delle mura per poter acclamare un vincitore. L'assedio continua.
str_hero_taken_prisoner|Il {s1} di {s3} è stato fatto prigioniero da: {s2}.
str_hero_freed|Il {s1} di {s3} è stato liberato dalla prigionia da: {s2}.
str_center_captured|{s2} ha occupato {s1} da {s3}.
str_troop_relation_increased|Le tue relazioni con {s1} sono migliorate da {reg1} a {reg2}.
str_troop_relation_detoriated|Le tue relazioni con {s1} sono peggiorate da {reg1} a {reg2}.
str_faction_relation_increased|Le tue relazioni con {s1} sono migliorate da {reg1} a {reg2}.
str_faction_relation_detoriated|Le tue relazioni con {s1} sono peggiorate da {reg1} a {reg2}.
str_party_gained_morale|La tua Compagnia guadagna {reg1} punti morale.
str_party_lost_morale|La tua Compagnia perde {reg1} punti morale.
str_other_party_gained_morale|{s1} guadagna {reg1} punti morale.
str_other_party_lost_morale|{s1} perde {reg1} punti morale.
str_qst_follow_spy_noticed_you|La spia si è accorta di te! Sta correndo ad avvisare i suoi!
str_father|padre
str_husband|marito
str_wife|moglie
str_daughter|figlia
str_mother|madre
str_son|figlio
str_brother|fratello
str_sister|sorella
str_he|Lui
str_she|Lei
str_s3s_s2|{s3} di {s2}
str_s5_is_s51|{s5} è {s51}.
str_s5_is_the_ruler_of_s51|{s5} è  il signore di {s51}.
str_s5_is_a_nobleman_of_s6|{s5} è  un nobile di {s6}.
str_relation_mnus_100|Velenoso
str_relation_mnus_90|Ostile
str_relation_mnus_80|Astioso
str_relation_mnus_70|Molesto
str_relation_mnus_60|Indisponente
str_relation_mnus_50| Maldisposto
str_relation_mnus_40|  Adirato
str_relation_mnus_30|    Indignato
str_relation_mnus_20|      Irritato
str_relation_mnus_10|        Diffidente
str_relation_plus_0|         Distaccato
str_relation_plus_10|          Cooperativo
str_relation_plus_20|           Cordiale
str_relation_plus_30|            Favorevole
str_relation_plus_40|             Sostenitore
str_relation_plus_50|              Amichevole
str_relation_plus_60|               Benevolo
str_relation_plus_70|                 Affettuoso
str_relation_plus_80|                  Leale
str_relation_plus_90|                   Devoto
str_relation_mnus_100_ns|{s60} è astioso nei tuoi confronti.
str_relation_mnus_90_ns|{s60} è astioso nei tuoi confronti.
str_relation_mnus_80_ns|{s60} è astioso nei tuoi confronti.
str_relation_mnus_70_ns|{s60} ti odia.
str_relation_mnus_60_ns|{s60} ti odia.
str_relation_mnus_50_ns|{s60} ti è ostile.
str_relation_mnus_40_ns|{s60} è irato con te.
str_relation_mnus_30_ns|{s60} è risentito nei tuoi confronti.
str_relation_mnus_20_ns|{s60} si lamenta di te.
str_relation_mnus_10_ns|{s60} non si fida di te.
str_relation_plus_0_ns|{s60} è diffidente nei tuoi confronti.
str_relation_plus_10_ns|{s60} collabora con te.
str_relation_plus_20_ns|{s60} è cordiale verso di te.
str_relation_plus_30_ns|{s60} è favorevole nei tuoi confronti.
str_relation_plus_40_ns|{s60} ti appoggia.
str_relation_plus_50_ns|{s60} è amichevole.
str_relation_plus_60_ns|{s60} è benevolo nei tuoi confronti.
str_relation_plus_70_ns|{s60} è cordiale.
str_relation_plus_80_ns|{s60} ti è leale.
str_relation_plus_90_ns|{s60} ti è devoto.
str_relation_reg1| Relazione: {reg1}
str_center_relation_mnus_100|La popolazione ti detesta pesantemente
str_center_relation_mnus_90|La popolazione ti detesta intensamente
str_center_relation_mnus_80|La popolazione ti detesta fortemente
str_center_relation_mnus_70|La popolazione ti detesta
str_center_relation_mnus_60|La popolazione ti odia
str_center_relation_mnus_50|La popolazione è estremamente ostile verso di te
str_center_relation_mnus_40|La popolazione è molto ostile nei tuoi confronti
str_center_relation_mnus_30|La popolazione ti è ostile
str_center_relation_mnus_20|La popolazione è contro di te
str_center_relation_mnus_10|La popolazione ti è avversa
str_center_relation_plus_0|La popolazione è diffidente verso di te
str_center_relation_plus_10|La popolazione ti accetta
str_center_relation_plus_20|La popolazione coopera con te
str_center_relation_plus_30|La popolazione ti offre il suo aiuto
str_center_relation_plus_40|La popolazione ti supporta
str_center_relation_plus_50|La popolazione ti supporta grandemente
str_center_relation_plus_60|La popolazione è leale nei tuoi confronti
str_center_relation_plus_70|La popolazione è estremamente leale verso di te
str_center_relation_plus_80|La popolazione ti è devota
str_center_relation_plus_90|La popolazione è fieramente devota a te
str_town_prosperity_0|La miseria in cui vive {s60} è insopportabile
str_town_prosperity_10|La squallida città di {s60} è praticamente deserta.
str_town_prosperity_20|La città di {s60} appare un infelice luogo desolato.
str_town_prosperity_30|La città di {s60} sembra povera ed abbandonata.
str_town_prosperity_40|La città di {s60} sembra in rivolta.
str_town_prosperity_50|La città di {s60} non sembra degna di nota.
str_town_prosperity_60|La città di {s60} sembra essere fiorente.
str_town_prosperity_70|La facoltosa città di {s60} prospera di attività.
str_town_prosperity_80|La città di {s60} sembra ricca e ben mantenuta.
str_town_prosperity_90|La città di {s60} è ricca e affollata di persone  benestanti.
str_town_prosperity_100|La scintillante città di {s60} mostra apertamente il suo magnifico stato di salute.
str_village_prosperity_0|La povertà del villaggio di {s60} è insopportabile.
str_village_prosperity_10|Il villaggio di {s60} sembra disgraziatamente povero e miserabile.
str_village_prosperity_20|Il villaggio di {s60} appare povero e desolato.
str_village_prosperity_30|Il villaggio di {s60} appare povero e trascurato.
str_village_prosperity_40|Il villaggio di {s60} sembra essere alquanto povero e mostra segni di rivolta.
str_village_prosperity_50|Il villaggio di {s60} non sembra degno di nota.
str_village_prosperity_60|Il villaggio di {s60} sembra essere fiorente.
str_village_prosperity_70|Il villaggio di {s60} sembra essere prospero.
str_village_prosperity_80|Il villaggio di {s60} sembra ricco e ben mantenuto.
str_village_prosperity_90|Il villaggio di {s60} sembra molto ricco e prosperoso.
str_village_prosperity_100|Il villaggio di {s60}, circondato da vasti e fertili terreni, sembra immensamente ricco.
str_town_alt_prosperity_0|I pochi articoli venduti nel mercato sembrano avere prezzi inaccessibili per gli abitanti. Le persone sono mal nutrite, i loro animali sono malati o morenti, e gli strumenti del loro lavoro sembrano rotti. I vicoli sono stati abbandonati alle mosche e cani rognosi.
str_town_alt_prosperity_20|Ascolti i brontolii nel mercato circa il prezzo di articoli di uso quotidiano e i negozi sono mezzo vuoti. Vedi i segni di malnutrizione sia nelle persone che negli animali,  e sia edifici che strumenti soffrono per la mancanza di riparazioni. Molti sono già migrati a cercare lavoro altrove.
str_town_alt_prosperity_40|Ascolti l'occasionale brontolio nel mercato circa il prezzo di oggetti di uso quotidiano, ma sembra che ci sia una ragionevole quantità di merce in vendita. Vedi qualche palazzo abbandonato, negozio o carretto, ma niente che non rientri nell'ordinaria vita di una città.
str_town_alt_prosperity_60|La gente sembra ben nutrita e relativamente contenta. Gli artigiani fanno affari fiorenti, ed alcuni migranti sembrano essere venuti qui da altre regioni a cercar fortuna.
str_town_alt_prosperity_80|Le mure, le strade e le case sono ben tenute. I mercati sono affollati di immigrati delle regioni vicine attratti qui dalla disponibilità di merci e lavoro. Il ritmo dei martelli e dei telai scandisce gli affari delle botteghe degli artigiani.
str_village_alt_prosperity_0|Solo una manciata di persone è abbastanza forte per lavorare nei campi, molti dei quali sono sempre più invasi dalle erbacce. Il resto degli abitanti appaiono deboli e malnutriti, o sono già fuggiti altrove. Gli animali da tiro sono già da tempo morti di fame o stati mangiati, anche se un paio carcasse giacciono ancora in periferia, le loro ossa sono preda degli animali selvaggi.
str_village_alt_prosperity_20|Alcuni agricoltori e animali sono nei campi, ma il loro numero ridotto suggerisce che molti abitanti del villaggio sono emigrati in cerca di cibo. Gli attrezzi agricoli appaiono arrugginiti e rotti. La boscaglia e le erbacce sembrano reclamare i campi più esterni.
str_village_alt_prosperity_40|I campi e i frutteti brulicano di movimento, con gli abitanti che svolgono i compiti della stagione. Uomini e animali hanno un aspetto relativamente sano e appaiono ben nutriti. Tuttavia, un piccolo numero di campi periferici sono inutilizzati, e alcuni muri sono mal riparati, suggerendo che non vi siano ancora abbastanza mani per fare tutto il lavoro che dev'essere fatto.
str_village_alt_prosperity_60|I campi e i frutteti ronzano di attività, con sacchi pieni di grano e di carne ad essiccare che testimoniano la produttività del terreno agricolo e dei pascoli del villaggio.
str_village_alt_prosperity_80|I campi e i frutteti ronzano di attività, canali di irrigazione appena scavati suggeriscono che i contadini hanno abbastanza tempo libero ed energie per ampliare la superficie coltivata. Lavoratori stagionali si affollano qui per aiutare con il lavoro e partecipare alla prosperità generale.
str_oasis_village_alt_prosperity_0|I palmeti sono praticamente abbandonati, e i canali che l'irrigano sono intasati dal limo. I pochi abitanti sembrano malnutriti e inquieti. Gli animali da traino sono morti di fame o sono stati mangiati e, anche se si trovano un paio di carcasse in periferia, le loro ossa sono state rosicchiate dagli sciacalli del deserto.
str_oasis_village_alt_prosperity_20|Si vedono pochi abitanti che si prendono cura dei palmeti, e le dune del deserto sembrano invadere i giardini. Molti dei canali sono intasati dal limo, e i pozzi e i serbatoi sono pieni di sabbia.
str_oasis_village_alt_prosperity_40|Uomini e donne si prendono cura dei palmeti, salendo in cima agli alberi per impollinare i frutti. Gli animali sani fan muovere le pompe e le ruote che portano l'acqua ai campi. Ad alcuni canali d'irrigazione e serbatoi, tuttavia, servirebbero delle manutenzioni.
str_oasis_village_alt_prosperity_60|I palmeti e i frutteti brulicano di attività. I contadini chiamano gli altri allegramente dalla cima degli alberi, dove impollinano il frutto. Lo scricchiolio delle pompe in legno, il muggire delle mucche e il precipitar di abbondante acqua evidenzia un sistema d'irrigazione fiorente e sotto il costante controllo degli abitanti.
str_oasis_village_alt_prosperity_80|I palmeti brulicano di attività, mentre i contadini caricano l'abbondante raccolto per poi venderlo al mercato. Uomini e donne sono impegnati a scavare nuovi pozzi e canali, per portarli in altre terre per l'irrigazione.
str_acres_grain|acri di campi di grano
str_acres_orchard|acri di frutteti e vigneti
str_acres_oasis|acri di oasi e giardini irrigati
str_looms|telai
str_boats|barche
str_head_cattle|capi di bestiame
str_head_sheep|mandrie di pecore
str_mills|mulini
str_kilns|forni
str_pans|pentole
str_deposits|depositi
str_hives|ortiche
str_breweries|birrerie
str_presses|presse
str_smithies|fucine
str_caravans|carovane terrestri
str_traps|trappole
str_gardens|piccoli giardini
str_tanneries|vasche per la concia
str_master_miller|Capo mugnaio
str_master_brewer|Capo birraio
str_master_presser|Mastro vinaio
str_master_smith|Capo fabbro
str_master_tanner|Capo conciatore
str_master_weaver|Capo tessitore
str_master_dyer|Capo tintore
str_war_report_minus_4|siamo a un passo dalla sconfitta
str_war_report_minus_3|la situazione è grave
str_war_report_minus_2|le cose non vanno molto bene per noi
str_war_report_minus_1|possiamo vincere la guerra se ci uniamo
str_war_report_0|la nostra forza è pari a quella del nemico
str_war_report_plus_1|abbiamo una chiara possibilità di vincere la guerra
str_war_report_plus_2|le cose vanno abbastanza bene
str_war_report_plus_3|non avremo difficoltà a batterli
str_war_report_plus_4|siamo ad un passo dalla vittoria
str_persuasion_summary_very_bad|Fai del tuo meglio per convincere {s50}, ma nessuna delle tue argomentazioni sembra essere efficace. Ogni volta che provi a dire qualcosa di sensato, ti sfuggono parole talmente fuori luogo che vanificano ogni tuo tentativo di persuasione. Nel momento stesso in cui finisci di parlare ti rendi conto di aver fatto una misera figura e vorresti sotterrarti dalla vergogna . Ovviamente, {s50} non sembra affatto convinto.
str_persuasion_summary_bad|Provi a convincere {s50}, ma {reg51?lei:lui} svia la discussione fin dall'inizio. Le tue frasi migliori suonano male persino alle tue orecchie . {s50}, non è rimasto assolutamente colpito da quello che stai dicendo.
str_persuasion_summary_average|{s50} risulta essere un abile oratore dalla mente acuta, e sembra che tu non possa dire niente che {reg51?lei:lui} non riesca a controbattere razionalmente. Alla fine non riesci a spuntarla su nessun argomento in questa discussione.
str_persuasion_summary_good|Mente lucida e ragionamenti chiari ti permettono di esporre bene la tue idee, obbligando {s50} a darti ragione riguardo molti aspetti. Tuttavia, {reg51?lei:lui} resta ancora dubbioso a proposito delle tue richieste.
str_persuasion_summary_very_good|Il tuo appassionato discorso echeggerà nei secoli e verrà ricordato come poesia. Il pianeta stesso sembra fermarsi per ascoltare le tue parole. Le tue espressioni ispirate hanno toccato {s50} profondamente, e {reg51?lei:lui} sembra disposto ad aiutarti.
str_secret_sign_1|L'armadio balla a mezzanotte...
str_secret_sign_2|Vendo questi delicati arazzi Khergit. Volete comprarne qualcuno?
str_secret_sign_3|Un amico di un mio amico mi ha detto...
str_secret_sign_4|Il vento soffia forte da ovest e il fiume scorre rosso...
str_countersign_1|Ma balla per i vestiti o per il candelabro?
str_countersign_2|Si, ne avete qualcuno in blu?
str_countersign_3|Ma, amico mio, l'amico del vostro amico non avrà mai un amico come me.
str_countersign_4|State bene?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|{s50} di Uxhal
str_surname_2|{s50} di Wercheg
str_surname_3|{s50} di Reyvadin
str_surname_4|{s50} di Suno
str_surname_5|{s50} di Jelkala
str_surname_6|{s50} di Veluca
str_surname_7|{s50} di Halmar
str_surname_8|{s50} di Curaw
str_surname_9|{s50} di Sargoth
str_surname_10|{s50} di Tihr
str_surname_11|{s50} di Zendar
str_surname_12|{s50} di Rivacheg
str_surname_13|{s50} di Wercheg
str_surname_14|{s50} di Ehlerdag
str_surname_15|{s50} di Yaragar
str_surname_16|{s50} di Burglen
str_surname_17|{s50} di Shapeshte
str_surname_18|{s50} di Hanun
str_surname_19|{s50} di Saren
str_surname_20|{s50} di Tosdhar
str_surname_21|{s50} il Lungo
str_surname_22|{s50} il Magro
str_surname_23|{s50} Barbasetosa
str_surname_24|{s50} il Passero
str_surname_25|{s50} il Povero
str_surname_26|{s50} lo Sfregiato
str_surname_27|{s50} il Biondo
str_surname_28|{s50} il Torvo
str_surname_29|{s50} il Rosso
str_surname_30|{s50} il Nero
str_surname_31|{s50} l'Alto
str_surname_32|{s50} Occhi di Stella
str_surname_33|{s50} il Senzapaura
str_surname_34|{s50} il Valoroso
str_surname_35|{s50} l'Astuto
str_surname_36|{s50} il Codardo
str_surname_37|{s50} il Brillante
str_surname_38|{s50} il Veloce
str_surname_39|{s50} il Menestrello
str_surname_40|{s50} l'Audace
str_surname_41|{s50} Testa Calda
str_surnames_end|Fine Cognomi
str_number_of_troops_killed_reg1|Numero di truppe uccise: {reg1}
str_number_of_troops_wounded_reg1|Numero di truppe ferite: {reg1}
str_number_of_own_troops_killed_reg1|Numero di truppe alleate uccise: {reg1}
str_number_of_own_troops_wounded_reg1|Numero di truppe alleate ferite: {reg1}
str_retreat|Ritirata!
str_siege_continues|Il combattimento continua...
str_casualty_display|Tue Perdite: {s10}^Perdite Nemiche: {s11}{s12}
str_casualty_display_hp|^Hai ricevuto ferite per {reg1} punti vita.
str_quest_log_updated|Il registro missioni è stato aggiornato...
str_banner_selection_text|Ti è stato concesso il diritto di portare uno stendardo. Il tuo stendardo indicherà la tua condizione e ti porterà onore. Quale stendardo vuoi scegliere?
str_retirement_text_1|Solo troppo tardi ti rendi conto che il tuo denaro non durerà. Non ci vuole molto a sprecare quel poco che hai potuto salvare, e vagherai miseramente cercando, senza esito, di tornare a condurre una vita avventurosa. Diventi indigente a {s9}, vivendo di elemosina e della carità della chiesa.
str_retirement_text_2|Solo troppo tardi ti rendi conto che il tuo denaro non durerà. Non ci vuole molto a sprecare quel poco che hai potuto salvare. Non appena ogni denaro è svanito dalla tua mano inizi tuo malgrado una vita criminale nei vicoli di {s9}, usando le tue abilità arrangiandoti e rubando meschinamente monete di rame da donne o cittadini poveri quanto te.
str_retirement_text_3|Solo troppo tardi ti rendi conto che il tuo denaro non durerà. Non ci vuole molto a sprecare quel poco che hai potuto salvare, diventi così una persona indigente, andando di taverna a taverna scroccando bevute da benefattori impietositi, intrattenendoli con storie di guerra alle quali nessuno in fondo crede.
str_retirement_text_4|L'argento che hai conservato non dura a lungo, ma riesci a metterne insieme abbastanza da comprare delle terre vicine al villaggio di {s7}. Ti dedichi alla vita contadina, e presto cominci ad attrarre potenziali {mogli/mariti}. Col tempo i paesani arrivano a trattarti come simbolo locale. Ricevi sempre un posto d'onore alle feste, e le tue imprese sono raccontate e ripetute nei locali e nelle taverne, cosicché i bambini possano tenerti sempre a mente quale esempio.
str_retirement_text_5|L'argento che hai conservato non dura a lungo, ma è abbastanza per comprare una piccola taverna a {s9}. Anche se le persone del posto sono inizialmente diffidenti, ti accettano presto tra loro. Nel tempo la tua sempre più florida attività diviene un popolare luogo di festa e d'incontro. Le persone vengono da miglia e miglia di distanza per mangiare o per trattenersi, a causa della tua fama pura e delle storie epiche dei tuoi giorni avventurosi di cui ti viene sempre chiesto il racconto.
str_retirement_text_6|Hai risparmiato saggiamente per tutta la tua carriera, e ora il tuo argento a la tua intelligenza ti permettono di fare qualche investimento eccellente per consolidare il tuo futuro. Dopo aver comprato parecchi negozi e magazzini a {s9}, la tua accortezza ti fa diventare una persona tra le più rilevanti nel mercato in città, e presto divieni {un uomo ricco/una donna ricca}, una persona conosciuta tanto per il suo impero commerciale che per le sue imprese in battaglia.
str_retirement_text_7|Come nobile con proprietà terriere, per quanto minori, il tuo futuro è tutto tranne che certo. Ti ambienti nel tuo possedimento a  {s7}, amministrando il villaggio e i campi, controllando le corti locali e adempiendo i tuoi obblighi verso il tuo sovrano. Occasionalmente sua maestà ti chiama per radunare e condurre eserciti nelle sue campagne, ma questi lavori sono brevi, e tu non ritorni mai veramente all'avventura dei giorni passati in gioventù. Hai già fatto la tua fortuna. Con i tuoi stessi magazzini e terreni, hai poche necessità che il tuo ricco capitale e il reddito delle tue terre non possano permetterti.
str_retirement_text_8|Non ci sono dubbi, hai tutto ciò che puoi desiderare. I tuoi ampi territori e la ricchezza delle avventure trascorse, sono abbastanza per permetterti una vita ricca e agiata per il resto dei tuoi giorni. Ritirandoti nel tuo luogo nobiliare a {s8}, scambi l'avventura con la politica, e presto ti affermi come una forza considerevole nel regno del tuo sovrano. Mentre ti occupi di attività che ti mantengano in forma, con le tue stesse foreste per la caccia, una sala dove festeggiare e cento belle storie di guerra da raccontare, hai poche difficoltà a decidere come gestire gli anni che seguono.
str_retirement_text_9|Come ricompensa per il tuo competente e leale servizio, il tuo sovrano decreta che ti sia dato un titolo ereditario, entrando a far parte della maggiore nobiltà del reame. Presto completi la tua investitura con il titolo baronale di {s7}, e diventi una persona fidata tra i consiglieri e aiutanti più vicini al sovrano. La tua fama ti fa ottenere un'influenza sottile e discreta, quando non un palese potere politico. Ora trascorri i tuoi giorni partecipando ai giochi di potere, amministrando i tuoi grandi feudi, e raccontando dei vecchi tempi colmi d'avventura e gloria.
str_retirement_text_10|Nonostante le tue umili origini, godi della profonda stima del tuo sovrano. Il regno intero è scosso da un fremito quando il re ti ritiene degno del titolo di {conte/contessa} di {s9}. Vasti feudi e fortune sono ora sotto il tuo controllo. Rapidamente acquisti la reputazione di consigliere più fidato del re, quasi un suo pari, mentre ti viene attribuita autorità su molti dei suoi domini. Siedi sul trono nel tuo splendido palazzo, in qualità di una delle più potenti figure di tutta Calradia.
str_loot_village|attacca i popolani innocenti
str_steal_from_villagers|derubare poveri popolani
str_rob_caravan|deruba una carovana mercantile
str_sell_slavery|vendi persone in schiavitù
str_men_hungry|rimanere senza cibo
str_men_unpaid|non si possa pagare questa persona
str_excessive_casualties|faccia divenire ogni battaglia un bagno di sangue per tutti noi
str_surrender|ti arrenda al nemico
str_flee_battle|ritirandoti dalla battaglia
str_pay_bandits|paga i comuni banditi
str_fail_quest|si fallisca in una missione alla quale ci siamo impegnati dando la parola d'onore
str_squander_money|sperpera i denari datici con fiducia
str_murder_merchant|ci facciamo coinvolgere in assassinii a sangue freddo
str_round_up_serfs|radunare servi fuggiaschi a nome di qualche nobile
str_battle_fate_1|Siamo stati separati nella foga della battaglia
str_battle_fate_2|Ho subito ferite e restando in mezzo ai caduti
str_battle_fate_3|Un colpo nemico mi ha fatto perdere i sensi
str_battle_fate_4|Ero in ostaggio, per un riscatto
str_battle_fate_5|Ero in prigionia, ma ho guadagnato la fuga
str_npc_morale_report|Sono {s6} la vostra scelta degli accompagnatori, {s7} il vostro stile di comando, e {s8} lo stato generale degli affari
str_happy|felice riguardo
str_content|mi accontento riguardo
str_concerned|in ansia riguardo
str_not_happy|non del tutto felice riguardo
str_miserable|infelice riguardo
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Contento
str_bar_weary|          Stanco
str_bar_disgruntled|     Scontento
str_bar_miserable|  Infelice
str_here_plus_space|qui
str_npc1_intro|Ehilà, anima errante! Non è che siete un segugio del mercato, vero?
str_npc2_intro|Salute. Sareste così gentile da farvi una bevuta con me? Mi sono rimasti cinque denari e non vorrei bere da solo.
str_npc3_intro|Buongiorno!
str_npc4_intro|Salve. Sono Rolf, figlio di Rolf, della più antica e potente Dinastia di Rolf.
str_npc5_intro|Salve, viaggiatore. Vorreste unirvi a me per una bevuta?
str_npc6_intro|Mi sono perso... Perso...
str_npc7_intro|Si? Mantenete la distanza, per cortesia.
str_npc8_intro|Cosa volete?
str_npc9_intro|Ehi tu, {buon uomo/brava donna}, sii così gentile da andare a prendere un'altra bevuta, d'accordo?
str_npc10_intro|Salute, {Fratello/Sorella}! Qui c'è la rovina e la caduta di tutti i nobili!
str_npc11_intro|Ehilà, {ragazzino/ragazzina}. Fatevi una bevuta con me.
str_npc12_intro|Salute. Forse potete aiutarmi.
str_npc13_intro|Salute. Io sono Nizar. Sicuramente avrete sentito parlare di me.
str_npc14_intro|Si? Cosa desiderate?
str_npc15_intro|Oh! Ditemi... La vostra sembra una faccia amichevole, per caso state andando fuori città in questo periodo?
str_npc16_intro|Ehilà! Non ho potuto non notare che siete in città a capo di un esercito. State per caso cercando accompagnatori?
str_npc1_intro_response_1|Forse. Qual è il problema?
str_npc2_intro_response_1|I vostri ultimi cinque denari? Cosa vi è successo?
str_npc3_intro_response_1|Ben trovata. Cosa sta facendo una chiaramente ben educata giovane donna come voi in un posto come questo?
str_npc4_intro_response_1|Hmm... Non ho mai sentito della Dinastia di Rolf.
str_npc5_intro_response_1|Certamente. Con chi ho il piacere di bere?
