dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Eu quero adiar a nomeação de um Lorde até que eu me aconselhe com meus súditos. 
dlga_start:horseman_talk|Bom dia! Vim aqui para praticar equitação, mas meus velhos ossos estão doendo muito, então eu decidi me dar um descanso hoje. Se você quiser praticar sua equitação, pode levar minha égua aqui. O exercício será bom para ela.
dlga_horseman_talk:horseman_challenge|Sim, eu gostaria de praticar equitação.
dlga_horseman_talk:close_window|Hum, talvez mais tarde.
dlga_horseman_challenge:horseman_melee_challenge_2|Certo. Agora eu lhe darei alguns exercícios que o ensinarão a equitação e como usar uma arma enquanto estiver no lombo o cabalo. Sua primeira tarefa é simples. Apenas pegue a égua e a leve por um passeio ao redor do percurso. Vá na velocidade que quiser. Volte quando achar que está confiante como um cavaleiro e lhe darei alguns exercícios mais difíceis.
dlga_horseman_melee_challenge_2:close_window|Tudo bem, estou pronto.
dlga_horseman_melee_challenge_2:close_window.1|Só um momento. Eu preciso fazer outra coisa primeiro.
dlga_tutorial_troop_default:close_window|Ei, estou tentando praticar aqui. Vá e fale com o instrutor de tiro com arco, se você precisa de orientação sobre armas de longo alcance.
dlga_start:lord_prison_break_confirm_3|Há uma mudança de planos?
dlga_start:lord_prison_break|O que está acontecendo?
dlga_start:drunk_response|O que você está olhando?
dlga_start:drunk_response.1|Você está olhando para mim?
dlga_player_duel_response:close_window|Que desperdício...
dlga_player_duel_response:close_window.1|Antes ele do que eu
dlga_drunk_response:drunk_fight_start|Não tenho certeza... Algum tipo de animal, claramente
dlga_drunk_response:drunk_fight_start.1|Perdoe-me. Por favor, aceite minhas desculpas
dlga_drunk_fight_start:close_window|Eu vou tirar esse sorriso da sua cara!
dlga_drunk_response:drunk_player_high_renown|Você tem alguma ideia de quem eu sou?
dlga_drunk_player_high_renown:drunk_fight_start|Preciso me importar?
dlga_drunk_player_high_renown:drunk_player_high_renown|Emmm... Na verdade... Sim, sim, eu sei quem você é,  {reg59? minha: meu} {reg59? Senhora: Senhor}. Por favor, perdoe-me, vossa majestade, deve ser a bebida. Eu estou de saída agora...
dlga_drunk_player_high_renown:drunk_fight_start.1|Se quer uma luta, você a terá!
dlga_drunk_player_high_renown:close_window|Foi o que pensei. Agora suma daqui.
dlga_start:fistfight_response|Você parece com alguém que suporta algumas bordoadas -- e distribuir algumas também. Eu tenho uma proposta de trabalho para você. 
dlga_fistfight_response:fistfight_response_2|O que seria?
dlga_fistfight_response_2:fistfight_response_2a|Bom..-- estou feliz que você esteja interessado. O plano é... É um pouco complicado, então escute bem. 
dlga_fistfight_response_2a:fistfight_response_3|Você e este outro cara irão começar uma luta aqui. Sem armas, sem armaduras -- Eu ficarei para trás, fazendo apostas e repartirei os lucros com o vencedor. Se perdermos, então eu cobrirei os gastos. Você não tem nada a perder -- exceto um pouco de sangue, é claro.
dlga_fistfight_response_3:fistfight_response_4|No entanto, não podemos organizar isso como se fosse uma daquelas lutas de arena, onde todos colocam suas apostas antes da contenda. As pessoas vão se aproximar, atraídas pelo barulho, e colocar um dinar ou dois em quaisquer um que elas acham que esteja ganhando. Eu lhes darei chances iguais -- qualquer outra divisão seria muito complexa para alguém que já está na sua terceira caneca de cerveja.
dlga_fistfight_response_4:fistfight_response_4a|Então, como pode ver, o truque é prolongar as coisas o máximo possível até que se pareça que você está perdendo, e as pessoas estejam apostando contra você -- e então voltar rapidamente e vencer, antes que as apostas mudem. O melhor jeito de se fazer dinheiro é você ser quase derrotado, no chão, e então ficar em pé e derrubar o outro cara. No entanto, você tem que vencer para que eu e você ganhemos o dinheiro.
dlga_fistfight_response_4a:fistfight_response_5|Além disso, você não pode esticar a luta por muito tempo, ou as pessoas vão suspeitar de algo. Então, um de vocês tem que levar um soco de vez em quando. Não me importo de quem o sangue seja derramado, mas tem que haver um pouco de sangue.
dlga_fistfight_response_5:fistfight_response_5a|Mais uma coisa. -- meu companheiro, seu oponente, ele não é dos mais espertos então ele vai vir direto em você. Cabe a você fornecer a arte.
dlga_fistfight_response_5a:fistfight_response_confirm|Então, o que acha?
dlga_fistfight_response_confirm:close_window.1|Eu tenho coisas melhores para fazer
dlga_start:ramun_introduce_1|Bom dia, {rapaz/moça}.
dlga_ramun_introduce_1:ramun_introduce_2|Perdoe-me. Você se parece com um comerciante, mas não vejo nenhuma mercadoria.
dlga_ramun_introduce_1:close_window|Deixe para lá.
dlga_ramun_introduce_2:ramun_introduce_3|Um comerciante? Ah, sim, certamente que sou. No entanto, minha mercadoria é um pouco diferente dos outros. Tem que ser alimentada e regada duas vezes por dia e tenta fugir se virar as costas.
dlga_ramun_introduce_3:ramun_introduce_4|Gado?
dlga_ramun_introduce_4:ramun_introduce_5|Quase lá. Eu gosto de me intitular o homem que mantém cada barco neste oceano em movimento. Barcos são conduzidos por remos, percebe? E remos precisam de homens para puxá-los ou eles param. É ai onde eu entro.
dlga_ramun_introduce_5:ramun_introduce_6|Escravos de galeras.
dlga_ramun_introduce_6:ramun_introduce_7|Agora você está entendendo! Um porto comercial como este não poderia sobreviver sem eles. Os navios perdem alguns deles em cada viagem, então sempre há uma alta demanda. Os capitães vêm a mim e eles pagam bem.
dlga_ramun_introduce_7:ramun_introduce_8|De onde vêm os escravos?
dlga_ramun_introduce_8:ramun_introduce_9|Eu lido principalmente com criminosos condenados que comprei por parte das autoridades. Os outros são prisioneiros de guerra de várias nações, ou pessoas incapazes de pagar suas dívidas, trazidas para mim porque eu ofereci os melhores preços. No entanto, de vez em quando eu acabo comprando de corsários e outros... 'indivíduos'. Você não pode ser exigente sobre seus fornecedores neste ramo de trabalho. Por um acaso você não teria qualquer prisioneiro com você, não teria?
dlga_ramun_introduce_9:ramun_introduce_10|Eu?
dlga_ramun_introduce_10:ramun_introduce_11|Por que não? Se você pretende colocar os pés fora desta cidade, você vai cruzar espadas com alguém, mais cedo ou mais tarde. E, se Deus quiser, você vai sair por cima. Por que não ganhar dinheiro extra com a coisa toda? Apanhe-os vivos, traga-os para mim, e eu vou pagar você cinquenta dinares por cada cabeça. Não me importo quem seja e de onde vêm.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. Vou pensar sobre isso.
dlga_ramun_introduce_12:close_window|Pense mesmo! Há um monte de prata para ser adquirida, sem erro. Mais do que suficiente para nós dois.
dlga_start:ramun_talk|Olá, {playername}.
dlga_ramun_pre_talk:ramun_talk|Mais alguma coisa?
dlga_ramun_talk:ramun_sell_prisoners|Eu lhe trouxe alguns prisioneiros, Ramun. Gostaria de ver?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Deixe-me ver o que você tem...
dlga_ramun_sell_prisoners_2:close_window|Um prazer fazer negócios com você.
dlga_ramun_talk:ramun_ask_about_capturing|Como faço para ter alguém como prisioneiro?
dlga_ramun_talk:ramun_ask_about_capturing.1|Você pode me dizer mais uma vez sobre a captura de prisioneiros?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Você é novo nisso, não é? Deixe-me explicar em termos simples. A regra básica de levar um prisioneiro é derrubando-o com uma arma contundente, como uma maça ou um bastão, ao invés de cortá-lo com uma espada. Assim ele vai dormir por um tempo, ao invés de sangrar até a morte, certo? Eu estou supondo que você tem uma arma contundente...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|É claro.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Para falar a verdade, não possuo.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Bom. Tudo o que você precisa fazer é abater o sujeito com sua arma, e quando a luta acabar você o põe em ferros. É um pouco diferente para os nobres e tal, eles tendem a ser protegidos o suficiente, não importa que tipo de arma que você use, mas os lacaios deles irão sangrar como um porco, se você pegá-lo com algo afiado. Não tenho muitas exigências em minha mercadoria, mas eu prefiro que eles estejam respirando quando eu comprá-los.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Não? Heh, bem, este deve ser o seu dia de sorte. Eu tenho um antigo porrete por aí que eu ia jogar fora. Está um pouco maltratado, mas ainda é bom o suficiente para bater em alguém até que pare de se mover. Aqui está.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Obrigado, Ramun. Talvez eu posso tentar isso.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Tudo bem, vou tentar explicar isso novamente em termos simples. A regra básica de levar um prisioneiro é derrubando-o com uma arma contundente, como uma maça ou um bastão, ao invés de cortá-lo com uma espada. Assim ele vai dormir por um tempo, ao invés de sangrar até a morte, certo? É um pouco diferente para os nobres e tal, eles tendem a ser protegidos o suficiente que não importa que tipo de arma você use, mas seus lacaios comuns irão sangrar como um porco, se você pegá-los com algo afiado.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Tudo bem, eu acho que entendi. Mais alguma coisa?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Bem, não é tão simples. Armas sem corte não fazem tantos danos como as afiadas, então elas não vão derrubar seus inimigos rapidamente. E acredite, a maioria da escória que você vai se deparar tentará te matar assim que por o olhar em você, então não espere qualquer cortesia quando você sacar um porrete em vez de uma espada. Além disso, ter que arrastar prisioneiros para cima e para baixo retardará sua companhia, é por isso que algumas pessoas simplesmente soltam seus prisioneiros depois que a luta acabou. Que loucura. Como alguém poderia recusar toda aquela prata, hein?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Isso é tudo?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Só uma última coisa. Gerenciar os prisioneiros com segurança não é uma coisa fácil de se fazer, você pode chamar como uma perícia em si. Se você quiser capturar muitos prisioneiros, você deve tentar e aprender os truques do ofício ou você não será capaz de prender um único homem que você pegar.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Obrigado, eu vou lembrar disso.
dlga_ramun_talk:ramun_leave|É melhor eu ir andando.
dlga_ramun_leave:close_window|Lembre-se, quaisquer prisioneiros que tiver, traga-os para mim. Eu vou te pagar boa prata por cada um.
dlga_start:close_window.3|Humildemente peço que Vossa Senhoria mantenha suas mãos onde eu possa vê-las.
dlga_start:manhunter_talk_b|Ei, você aí! Você viu quaisquer foras-da-lei por aqui?
dlga_manhunter_talk_b:manhunter_talk_b1|Sim, eles foram por ali não faz muito.
dlga_manhunter_talk_b1:close_window|Eu sabia! Vamos, rapazes! Vamos pegar esses bastardos! Muito obrigado, {rapaz/moça}.
dlga_manhunter_talk_b:manhunter_talk_b2|Não, não vi quaisquer foras-da-lei ultimamente.
dlga_manhunter_talk_b2:close_window|Bah. Estão escondidos neste país como ratos, mas vamos desentocá-los mais cedo ou mais tarde.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Não tenho medo de você. Lute comigo se você ousar!
dlga_looters_2:close_window.1|Você não terá nada de mim além de aço frio, escória.
dlga_start:village_farmer_talk|{Meu/Minha} {senhor/senhora}, somos apenas pobres camponeses da vila de {s11}. {reg1? Estamos levando nossos produtos pro mercado em {s12}.: Estamos voltando do mercado em {s12} de volta à nossa vila.}
dlga_village_farmer_talk:farmer_bandit_information|Estou caçando um grupo de bandidos com a seguinte descrição... Já os viste?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Veremos o quão pobre vocês são depois de eu tomar tudo que você tem!
dlga_village_farmer_talk:close_window.1|Continuem, então. Adeus.
dlga_start:minister_issues|Estou a seu serviço, {reg59? minha senhora: meu senhor}
dlga_start:close_window.4|Tem sido uma honra servi-{reg59? la: lo}, {reg59? minha senhora.: meu senhor.}
dlga_start:member_castellan_talk|Sim, {playername}? O que posso fazer por você?
dlga_member_castellan_pretalk:member_castellan_talk|Mais alguma coisa?
dlga_member_castellan_talk:member_review_castle_garrison|Eu quero rever a guarnição do castelo.
dlga_member_review_castle_garrison:member_castellan_pretalk|É claro. Aqui estão nossas listas. Deixe-me saber de quaisquer alterações que você requeira...
dlga_member_castellan_talk:member_review_castellan_equipment|Deixe-me ver seu equipamento.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Muito bem, está tudo aqui...
dlga_member_castellan_talk:member_castellan_join|Eu quero que você abandone o castelo e se junte à minha companhia.
dlga_member_castellan_join:close_window|Eu criei muita afeição pelo lugar, mas se esse é seu desejo, {playername}, vou acompanhá- {reg59? la.: lo.}
dlga_member_castellan_join:member_castellan_pretalk|Onde iriamos dormir? Você está arrastando um exército inteiro com você, {playername}! Não há espaço para todos nós.
dlga_member_castellan_talk:close_window|[Sair]
dlga_member_chat:kidnapped_girl_chat_1|Já chegamos em casa?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Ainda não.
dlga_kidnapped_girl_chat_2:close_window|Eu mal posso esperar para voltar. Sinto tanta falta da minha família. Eu daria tudo para vê-los de novo.
dlga_member_chat:member_lady_1|{playername}, quando você acha que podemos chegar ao nosso destino?
dlga_member_lady_1:member_lady_2a|Ainda temos um longo caminho pela frente.
dlga_member_lady_1:member_lady_2b|Muito em breve. Estamos quase lá.
dlga_member_lady_2a:close_window|Ah, eu vou aproveitar a estrada por mais algum tempo então. Não vou reclamar. Acho cavalgar ao ar livre muito mais agradável do que ficar sentada no castelo o dia inteiro. Sabe, eu te invejo. Você pode viver assim o tempo todo.
dlga_member_lady_2b:close_window|Isso é uma boa notícia. Não que eu não goste de sua companhia, mas sinto falta de meus pequenos luxos. Ainda sinto por deixar você em breve. Deve prometer, que você virá me visitar quando puder.
dlga_member_chat:supported_pretender_talk|Saudações, {playername}, meu primeiro e principal vassalo. Aguardo seu conselho.
dlga_supported_pretender_pretalk:supported_pretender_talk|Mais alguma coisa?
dlga_supported_pretender_talk:pretender_progress|O que acha do nosso progresso até agora?
dlga_pretender_progress:pretender_progress_2|{reg11? Nós temos {reg11} Lordes do nosso lado: ainda não temos nenhum Lorde conosco}, enquanto {reg21? { S9} ainda tem {reg21} Lordes o apoiando: {s9} não tem nenhum Lorde leal}. {reg19? Nós controlamos {reg13? { reg13} cidades:} {reg14? { reg14} castelos:} {reg15? e vilas {reg15}:}: nós não controlamos quaisquer assentamentos}, enquanto {reg29? eles têm {reg23? { cidades reg23}:} {reg24? { reg24} castelos:} {reg25? e vilas {reg25}:}: eles não têm quaisquer assentamentos restantes}. Em geral, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Então, nós devemos continuar lutando e reagrupar nossos apoiadores!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Parece que esta rebelião não vai a lugar algum. Devemos desistir.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, você não pode me abandonar agora! É sério?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|De fato, eu estou. Não posso apoiar você por mais tempo.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Eu estava brincando. Vou lutar por você até conseguirmos.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Você tem certeza absoluta? Nunca vou te perdoar se abandonar minha causa.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Tenho certeza.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Deixe-me pensar sobre isso pouco mais.
dlga_pretender_quit_rebel:close_window|Que assim seja. Então minha causa está perdida. Há apenas uma coisa que posso fazer agora. Vou viajar pra longe de Calradia, para nunca mais voltar. Com minha partida, você pode tentar fazer suas pazes com {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65? Minha senhora: Meu senhor}, permitiria-me verificar seu equipamento?
dlga_supported_pretender_equip:supported_pretender_pretalk|Muito bem, está tudo aqui...
dlga_supported_pretender_talk:pretneder_view_char_requested|Se isso lhe agrada, você poderia me dizer algo sobre suas habilidades?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Bem, tudo bem.
dlga_supported_pretender_talk:supported_pretender_grant_fief|Eu sugiro que você decida quem deve possuir um feudo que não tem um Lorde ainda.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Qual feudo tens em mente?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|Quem deve recebê-lo?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Deixa para lá.
dlga_supported_pretender_talk:close_window|Vamos continuar, {reg65? minha senhora: meu senhor}.
dlga_do_member_trade:member_talk|Mais alguma coisa?
dlga_member_pretalk:member_talk|Mais alguma coisa?
dlga_member_chat:member_talk|Pois não, {s5}?
dlga_member_talk:member_direct_campaign|Como General, desejo que envie uma mensagem para os vassalos do Reino
dlga_member_talk:member_trade|Deixe-me ver seu equipamento.
dlga_member_trade:do_member_trade|Muito bem, está tudo aqui...
dlga_member_talk:view_member_char_requested|O que você pode me dizer sobre suas habilidades?
dlga_view_member_char_requested:do_member_view_char|Tudo bem, deixe-me dizer-te...
dlga_member_talk:member_separate|Precisamos nos separar por um tempo.
dlga_member_separate:member_separate_confirm|Ah sério? Bem, não vou apenas esperar por aqui. Vou para as cidades em busca de outro trabalho. É isso que você quer?
dlga_member_separate:companion_quitting|Na verdade, há algo que preciso te dizer.
dlga_member_separate_confirm:member_separate_yes|É isso mesmo. Precisamos nos separar.
dlga_member_separate_confirm:do_member_trade|Não, eu prefiro ter você ao meu lado.
dlga_member_separate_yes:close_window|Bem... Vou partir, então. Procure-me se precisar de mim.
dlga_member_talk:member_question|Eu gostaria de te perguntar uma coisa.
dlga_member_talk:close_window|Deixe para lá.
dlga_member_question:member_question_2|Muito bem. O que queria perguntar?
dlga_member_question_2:member_morale|Como se sente sobre o jeito como as coisas estão indo nesta companhia?
dlga_member_question_2:member_background_recap|Conte-me sua história novamente.
dlga_member_question_2:member_kingsupport_1|Suponho que você saiba que eu aspiro ser {reg59? rainha: rei} desta terra. Não sabe?
dlga_member_question_2:member_intelgathering_1|Você tem todas algumas conexões que possamos usar para nossa vantagem?
dlga_member_question_2:member_fief_grant_1|Você estaria interessado em possuir um feudo?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Então pouco tempo depois, juntei-me a você.
dlga_do_member_view_char:member_talk|Mais alguma coisa?
dlga_member_kingsupport_1:do_member_trade|Hum... Sim. Eu ouvi falar.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Você então, apoiaria minha causa?
dlga_member_kingsupport_1a:do_member_trade|Muito bem. Vou lembrar disso.
dlga_member_kingsupport_2:do_member_trade|Eu iria, {s21}. Além disso, tenho uma proposta de como eu posso ajudá-lo a alcançar seu trono. No entanto, você enviou {s22} recentemente em uma missão semelhante. Talvez seja melhor esperarmos por algumas semanas para evitar chamar muita atenção.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Muito bem.  Faça isso.
dlga_member_kingsupport_3a:do_member_trade|Pensando bem, fique comigo por enquanto.
dlga_member_kingsupport_4:close_window|Adeus então, {s21}, até breve.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|É claro, o menor número possível de pessoas deveria saber disto. Se você quer coletar as informações, ou me soltar, então não me mande um mensageiro. Venha me pegar você mesmo... mesmo que signifique que tenha que se esgueirar através dos portões.
dlga_member_intelgathering_3:member_intelgathering_4|Esplêndida ideia!.-- faça isso.
dlga_member_intelgathering_3:do_member_trade|Na verdade, vamos adiar isso por enquanto.
dlga_member_intelgathering_4:close_window|Bom. Estarei pronto para relatar em cerca de cinco dias. Adeus então, {s21}, até breve.
dlga_merchant_quest_4_start:close_window|Está na hora, rapazes! Pra cima deles!
