qstr_Next_Page|Próxima página
qstr_Current_garrison_con|A guarnição atual consiste em {reg5} homens.^Tem estoques de comida para {reg6} dias.
qstr_Very_Poor|Muito Pobre
qstr_Poor|Pobre
qstr_Average|Médio:
qstr_Rich|Rica
qstr_Very_Rich|Muito Rica
qstr_Manor|Solar
qstr_A_manor_lets_you_res|Um solar permite que você descanse na Vila e pague metade do salário a suas tropas enquanto você descansa.
qstr_Mill|Moinho
qstr_A_mill_increases_vil|Um moinho aumenta a prosperidade da Vila em 5%.
qstr_Watch_Tower|Torre de Vigia
qstr_A_watch_tower_lets_t|Uma torre de vigia permite que os camponeses soem o alarme mais cedo. O tempo necessário para os inimigos pilharem o vilarejo aumenta em 50%.
qstr_School|Escola
qstr_A_shool_increases_th|Uma escola aumenta a lealdade dos camponeses em +1 a cada mês.
qstr_Messenger_Post|Posto de Mensageiro
qstr_A_messenger_post_let|Um posto de mensageiro permite que os habitantes lhe enviem uma mensagem sempre que inimigos estiverem por perto, mesmo se você estiver longe.
qstr_Prison_Tower|Torre de Prisão
qstr_A_prison_tower_reduc|Uma torre de prisão reduz a chance de prisioneiros conseguirem fugir.
qstr_Prosperity_of_{s2}_h|A prosperidade de {s2} foi alterada de {s3} para {s4}.
qstr_{s4}_looks_upset.|{s4} parece chateado.
qstr_your_party|suas tropas
qstr_{reg0?One_of_your_pr|{reg0?Um de seus prisioneiros, :}{s1} de {s3} escapou do cativeiro!
qstr_You_brought_{reg3}_h|Você trouxe {reg3} cabeças de gado para {s1}.
qstr_I_heard_that_there_w|Ouvi dizer que haverá um torneio em {s62} em breve.
qstr_I_heard_that_one_can|Ouvi dizer que se pode comprar {s62} muito barato, em {s63}.
qstr_I_heard_that_they_pa|Ouvi dizer que pagam um preço muito alto por {s62} em {s63}.
qstr_two_days_ago|dois dias atrás
; qstr_Best_threat_of_{s4}_|Best threat of {s4} has value level of {reg1}
qstr_No_center_found_to_d|Nenhum centro foi encontrado para defender
qstr_You_gain_right_to_ru|Você ganha Direito de Governar.
qstr_You_lose_right_to_ru|Você perde o Direito de Governar.
; qstr_Added_money_for_your|Added money for your old horse
qstr_You_got_keys_of_dung|Você obteve as chaves da masmorra.
qstr_You_must_stay_behind|Você deve permanecer atrás da linha no chão! Ponto não computado.
qstr_Tutorial|Tutorial
qstr_You_came_into_the_wo|Você veio ao mundo como {reg3?filha:filho} de uma família aristocrática em declínio que possuía apenas a casa em que vivia. No entanto, apesar das dificuldades, sua família lhe garantiu uma boa educação e desde a infância instruiu você para lidar com as adversidades da aristocracia e da vida na corte.
qstr_You_were_born_the_{r|Você é {reg3?filha:filho} de comerciantes ambulantes, sempre vagando de um lugar para o outro em busca de lucro. Embora seus pais fossem mais ricos do que a maioria e tenham lhe garantido a melhor educação possível, você teve poucas oportunidades de fazer amizades na estrada e vivia em função dos momentos em que podia vender algo a alguém.
qstr_As_a_child_your_fami|Quando criança, sua família vivia uma vida modesta com o salário do seu pai de guarda do lorde local. Não era uma vida fácil e você era pobre demais para conseguir estudar. Você aprendeu a se defender essencialmente nas ruas, com ou sem uma arma em suas mãos.  
; qstr_{reg3?daughter:son}|{reg3?daughter:son}
; qstr_You_were_the_{reg3?d|You were the {reg3?daughter:son} of a family who lived off the woods, doing whatever they needed to make ends meet. Hunting, woodcutting, making arrows, even a spot of poaching whenever things got tight. Winter was never a good time for your family as the cold took animals and people alike, but you always lived to see another dawn, though your brothers and sisters might not be so fortunate.
; qstr_You_were_a_child_of_|You were a child of the steppe, born to a tribe of wandering nomads who lived in great camps throughout the arid grasslands. Like the other tribesmen, your family revered horses above almost everything else, and they taught you how to ride almost before you learned how to walk. 
; qstr_As_the_{reg3?daughte|As the {reg3?daughter:son} of a thief, you had very little 'formal' education. Instead you were out on the street, begging until you learned how to cut purses, cutting purses until you learned how to pick locks, all the way through your childhood. Still, these long years made you streetwise and sharp to the secrets of cities and shadowy backways.
; qstr_As_a_{reg3?girl:boy}|As a {reg3?girl:boy} growing out of childhood, you were sent to live in the court of one of the nobles of the land. There, your first lessons were in humility, as you waited upon the lords and ladies of the household. But from their chess games, their gossip, even the poetry of great deeds and courtly love, you quickly began to learn about the adult world of conflict and competition. You also learned from the rough games of the other children, who battered at each other with sticks in imitation of their elders' swords.
; qstr_As_a_{reg3?girl:boy}_|As a {reg3?girl:boy} growing out of childhood, you apprenticed with a local craftsman to learn a trade. After years of hard work and study under your new master, he promoted you to journeyman and employed you as a fully paid craftsman for as long as you wished to stay.
; qstr_As_a_{reg3?girl:boy}_g|As a {reg3?girl:boy} growing out of childhood, you apprenticed to a wealthy merchant, picking up the trade over years of working shops and driving caravans. You soon became adept at the art of buying low, selling high, and leaving the customer thinking they'd got the better deal.
; qstr_As_a_{reg3?girl:boy}_gr|As a {reg3?girl:boy} growing out of childhood, you took to the streets, doing whatever you must to survive. Begging, thieving and working for gangs to earn your bread, you lived from day to day in this violent world, always one step ahead of the law and those who wished you ill.
; qstr_As_a_{reg3?girl:boy}_gro|As a {reg3?girl:boy} growing out of childhood, you rode the great steppes on a horse of your own, learning the ways of the grass and the desert. Although you sometimes went hungry, you became a skillful hunter and pathfinder in this trackless country. Your body too started to harden with muscle as you grew into the life of a nomad {reg3?woman:man}.
; qstr_{reg3?daughter:man}|{reg3?daughter:man}
; qstr_Though_the_distincti|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. When you were named squire to a noble at court, you practiced long hours with weapons, learning how to deal out hard knocks and how to take them, too. You were instructed in your obligations to your lord, and of your duties to those who might one day be your vassals. But in addition to learning the chivalric ideal, you also learned about the less uplifting side -- old warriors' stories of ruthless power politics, of betrayals and usurpations, of men who used guile as well as valor to achieve their aims.
; qstr_{reg3?woman:man}|{reg3?woman:man}
; qstr_Though_the_distinctio|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You joined the tightly-knit circle of women at court, ladies who all did proper ladylike things, the wives and mistresses of noble men as well as maidens who had yet to find a husband. However, even here you found politics at work as the ladies schemed for prominence and fought each other bitterly to catch the eye of whatever unmarried man was in fashion at court. You soon learned ways of turning these situations and goings-on to your advantage. With it came the realisation that you yourself could wield great influence in the world, if only you applied yourself with a little bit of subtlety.
; qstr_Though_the_distinction|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You set out on your own with nothing except the instrument slung over your back and your own voice. It was a poor existence, with many a hungry night when people failed to appreciate your play, but you managed to survive on your music alone. As the years went by you became adept at playing the drunken crowds in your taverns, and even better at talking anyone out of anything you wanted.
; qstr_Though_the_distinction_|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. You found yourself as a student in the university of one of the great cities, where you studied theology, philosophy, and medicine. But not all your lessons were learned in the lecture halls. You may or may not have joined in with your fellows as they roamed the alleys in search of wine, women, and a good fight. However, you certainly were able to observe how a broken jaw is set, or how an angry townsman can be persuaded to set down his club and accept cash compensation for the destruction of his shop.
; qstr_Though_the_distinction_f|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Heeding the call of the open road, you travelled from village to village buying and selling what you could. It was not a rich existence, but you became a master at haggling even the most miserly elders into giving you a good price. Soon, you knew, you would be well-placed to start your own trading empire...
; qstr_Though_the_distinction_fe|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You pursued a career as a smith, crafting items of function and beauty out of simple metal. As time wore on you became a master of your trade, and fine work started to fetch fine prices. With food in your belly and logs on your fire, you could take pride in your work and your growing reputation.
; qstr_Though_the_distinction_fel|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Dissatisfied with common men's desperate scrabble for coin, you took to your local lord's own forests and decided to help yourself to its bounty, laws be damned. You hunted stags, boars and geese and sold the precious meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood that warmed many freezing homes during winter. All for a few silvers, of course.
; qstr_Only_you_know_exactl|Only you know exactly what caused you to give up your old life and become an adventurer. Still, it was not a difficult choice to leave, with the rage burning brightly in your heart. You want vengeance. You want justice. What was done to you cannot be undone, and these debts can only be paid in blood...
; qstr_Only_you_know_exactly|Only you know exactly what caused you to give up your old life and become an adventurer. All you can say is that you couldn't bear to stay, not with the memories of those you loved so close and so painful. Perhaps your new life will let you forget, or honour the name that you can no longer bear to speak...
; qstr_Only_you_know_exactly_|Only you know exactly what caused you to give up your old life and become an adventurer. You're not even sure when your home became a prison, when the familiar became mundane, but your dreams of wandering have taken over your life. Whether you yearn for some faraway place or merely for the open road and the freedom to travel, you could no longer bear to stay in the same place. You simply went and never looked back...
; qstr_Only_you_know_exactly_w|Only you know exactly what caused you to give up your old life and become an adventurer. However, you know you cannot go back. There's nothing to go back to. Whatever home you may have had is gone now, and you must face the fact that you're out in the wide wide world. Alone to sink or swim...
; qstr_Only_you_know_exactly_wh|Only you know exactly what caused you to give up your old life and become an adventurer. To everyone else, it's clear that you're now motivated solely by personal gain. You want to be rich, powerful, respected, feared. You want to be the one whom others hurry to obey. You want people to know your name, and tremble whenever it is spoken. You want everything, and you won't let anyone stop you from having it...
qstr_Back_to_the_beginnin|De volta ao começo...
qstr_View_next_segment...|Ver próximo segmento...
qstr_^No_food:___{reg7}|^  Sem comida: -{reg7}
; qstr_^Wage_debt:___{reg6}|^Wage debt:  -{reg6}
qstr_On_loan|Em empréstimo,
qstr_Appoint_next_marshal|Indicar próximo general
qstr_Award_{s12}_as_fief|Conceder {s12} como feudo
; qstr_No_one|No one
qstr_Selected_faction_is:|A fação selecionada é: {s10}^^{s9}
qstr_You_are_currently_re|Você está lendo {s8}.
qstr_You_are_not_reading_|Você não está lendo nenhum livro.
qstr_none|nenhum
qstr_{s5}_and_{s6}|{s5} e {s6}
; qstr_Your_estates_are:_{s|Your estates are: {s8}.^{s9}
; qstr_Current_party_size_l|Current party size limit is {reg5}.^Current party size modifiers are:^^Base size:  +30^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Renown: {s4}{reg3}^TOTAL:  {reg5}
qstr_Loyal|Leal
qstr_Devoted|Dedicado
qstr_Fond|Afeiçoado
qstr_Gracious|Gracioso
qstr_Friendly|Amigável
qstr_Supportive|Apoiante
qstr_Favorable|Favorável
qstr_Cooperative|Cooperativo
qstr_Accepting|Aceitando
qstr_Indifferent|Indiferente
qstr_Suspicious|Suspeito
; qstr_Grumbling|Grumbling
qstr_Hostile|Hostil
qstr_Resentful|Ressentido
qstr_Angry|Irritado
qstr_Hateful|Odioso
; qstr_Revengeful|Revengeful
qstr_Vengeful|Vingativo
; qstr_Your_relation_with_t|Your relation with the factions are:^{s2}
; qstr_Player_renown_is_inc|Player renown is increased by 100. 
qstr_Player_honor_is_incr|A honra do jogador teve um acréscimo de 1 e agora equivale a {reg7}.
; qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?accept:accepts} the offer.
qstr_No_one_accepts_the_o|Ninguém aceita a oferta.
qstr_You_start_reading_{s|Você começa a ler {s2}. Passadas algumas páginas, você percebe que pode aprender bastante com este livro. Você decide mantê-lo por perto para ler sempre que tiver tempo.
qstr_You_flip_through_the|Você folheia {s2}, mas percebe que o texto é confuso e difícil de compreender. Por mais que tente ler, você acaba ficando com uma dor de cabeça e desiste da tentativa.
qstr_Villagers|Camponeses
qstr_You_have_encountered|Você encontrou {s1}.
qstr_You_have_engaged_{s1|Você travou combate com {s1} enquanto saqueavam {s3}.
; qstr_You_were_caught_by_{|You were caught by {s1} while your forces were raiding {s3}.
qstr_You_were_victorious!|Você venceu!
qstr_Battle_was_lost._You|Você perdeu a batalha. Suas forças foram completamente derrotadas.
; qstr_Your_companions_carr|Your companions carry you away from the fighting.
qstr_You_have_defeated_th|Você derrotou o inimigo.
qstr_You_have_retreated_f|Você bateu em retirada.
qstr_^^Ally_Casualties:{s|^^Baixas de aliados:{s0}
qstr_{s1}_of_{s3}_managed|{s1} de {s3} conseguiu escapar.
qstr_Some_of_your_tendons|Você lesionou alguns tendões durante a batalha e perdeu 1 ponto de força.
; qstr_You_took_a_nasty_wou|You took a nasty wound which will cause you to limp slightly even after it heals. You lose 1 agility.
; qstr_You_have_trouble_thi|You have trouble thinking straight after the battle, perhaps from a particularly hard hit to your head, and frequent headaches now plague your existence. Your intelligence is reduced by 1.
qstr_Perhaps_I_m_getting_|Talvez eu esteja sem sorte...
; qstr_Retirement_is_starti|Retirement is starting to sound better and better.
qstr_No_matter!_I_will_pe|Não importa! Vou persistir!
qstr_What_did_I_do_to_des|O que fiz para merecer isso?
qstr_I_suppose_it_ll_make|Pelo menos isso vai dar em uma boa história...
qstr_{s9}_wants_you_to_fo|{s9} quer que você siga o exército dele até segunda ordem.
qstr_{s8}_of_{s9}|{s8} de {s9}
qstr__Your_own_banner_fli|Seu estandarte tremula sobre o portão do castelo.
qstr__You_see_the_banner_|Você vê o estandarte de {s7} sobre o portão do castelo.
qstr__Your_own_banner_flie|Seu estandarte tremula sobre os portões da cidade.
qstr__You_see_the_banner_o|Você vê o estandarte de {s7} sobre os portões da cidade.
; qstr_The_{reg6?town_s:cas|The {reg6?town's:castle's} food stores should last for {reg3} more days.
; qstr_The_{reg6?town_s:cast|The {reg6?town's:castle's} food stores have run out and the defenders are starving.
qstr_You_re_preparing_to_|Você está se preparando para atacar as muralhas. A tarefa deve terminar após {reg9} horas.
qstr_Your_forces_are_buil|Suas forças estão construindo uma torre de cerco e estimam que serão necessárias {reg9} horas para finalizar a construção.
; qstr_You_are_ready_to_att|You are ready to attack the walls at any time.
qstr_The_siege_tower_is_b|A torre de cerco foi construída e está pronta para o ataque.
qstr_As_a_last_defensive_|Em uma última investida defensiva, você se retira para o salão principal da fortaleza. Você e seus soldados restantes travarão uma luta desesperada aqui. Se forem derrotados, não haverá outro lugar para onde recuar.
; qstr_You_ve_been_driven_a|You've been driven away from the walls. Now the attackers are pouring into the streets. IF you can defeat them, you can perhaps turn the tide and save the day.
; qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders continue to resist you in the streets! You'll have to deal with them before you can attack the keep at the heart of the town.
; qstr_The_town_centre_is_y|The town centre is yours, but the remaining defenders have retreated to the castle. It must fall before you can complete your victory.
; qstr_The_remaining_defend|The remaining defenders have retreated to the castle as a last defense. You must go in and crush any remaining resistance.
; qstr_However_since_you_ar|However, since you are not a sworn {man/follower} of {s9}, there is no chance he would recognize you as the {lord/lady} of this {reg8?town:castle}.
qstr_The_enemy_has_been_f|O inimigo foi forçado a recuar. A luta terminou, mas o cerco continua.
; qstr_As_you_approach_you_|As you approach, you are spotted by the castle guards, who welcome you and open the gates for their {king/queen}.
; qstr_As_you_approach_you_a|As you approach, you are spotted by the castle guards, who welcome you and open the gates for their {lord/lady}.
qstr__This_village_and_th|Este vilarejo e as terras circundantes pertencem a você.
qstr__You_remember_that_t|Você se lembra de que este vilarejo e as terras circundantes pertencem a {s7}.
qstr__These_lands_belong_|Estas terras não pertencem a ninguém.
qstr__The_village_is_infe| Este vilarejo está infestado de {reg8} {s35}.
; qstr__The_village_has_bee| The village has been looted. A handful of souls scatter as you pass through the burnt out houses.
qstr__The_village_is_bein|O vilarejo está sendo saqueado.
; qstr_No_one_here_seems_to|No one here seems to be willing to join your party.
qstr_One_{s3}_volunteers_|Um {s3} voluntário irá segui-lo.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} voluntários irão segui-lo.
; qstr_Try_as_you_might_you|Try as you might, you could not defeat the bandits. Infuriated, they raze the village to the ground to punish the peasants, and then leave the burning wasteland behind to find greener pastures to plunder.
qstr_village|Vila
qstr_town|Cidade
qstr_castle|castelo
; qstr_The_{s17}_has_no_imp|The {s17} has no improvements.
; qstr_The_{s17}_has_the_fo|The {s17} has the following improvements:{s18}.
; qstr_The_assasins_beat_yo|The assasins beat you down and leave you for dead. .
; qstr_You_have_fallen._The|You have fallen. The bandits quickly search your body for every coin they can find, then vanish into the night. They have left you alive, if only barely.
; qstr_Luckily_some_of_your|Luckily some of your companions come to search for you when you do not return, and find you lying by the side of the road. They hurry you to safety and dress your wounds.
; qstr_Luckily_some_passing|Luckily some passing townspeople find you lying by the side of the road, and recognise you as something other than a simple beggar. They carry you to the nearest inn and dress your wounds.
qstr_You_fail_to_steal_an|Você não conseguiu roubar gado.
; qstr_You_drive_away_{reg1|You drive away {reg17} {reg12?heads:head} of cattle from the village's herd.
qstr_You_are_at_{s2}.|Você está em {s2}.
qstr__This_castle_has_no_|Este castelo não tem nenhuma guarnição.
qstr__This_town_has_no_ga|Esta cidade não tem nenhuma guarnição.
qstr__You_have_successful|Você conseguiu entrar furtivamente.
qstr_{s13}_A_tournament_w|{s13} Haverá um torneio aqui em breve.
; qstr___{reg1}_denars_per_| ({reg1} denars per night)
; qstr_Moreover_you_earn_{r|Moreover, you earn {reg8} denars from the clever bets you placed on yourself...
qstr_Victory_is_yours!_Yo|A vitória é sua! Você venceu este combate, mas agora deve se preparar para a próxima partida.
; qstr_You_have_been_bested|You have been bested in this melee, but the master of ceremonies declares a recognition of your skill and bravery, allowing you to take part in the next round. 
; qstr_You_were_beaten._The|You were beaten. The peasants are heartened by their success, but the lesson you wanted to teach them probably didn't get through...
; qstr_After_beating_your_l|After beating your last opponent, you explain to the peasants how to better defend themselves against such an attack. Hopefully they'll take the experience on board and will be prepared next time.
; qstr_The_bandits_are_brok|The bandits are broken! Those few who remain alive and conscious run off with their tails between their legs, terrified of the peasants and their new champion.
; qstr_{s1}_s_Ship|{s1}'s Ship
; qstr_However_{reg3?You_ar|However, {reg3?You are:{s1} is} unable to find any trade goods that would bring a profit.
; qstr_^Buying_{s4}_here_an|^Buying {s4} here and selling it at {s5} would bring a profit of {reg6} denars per item.{s3}
; qstr_{reg3?You_find:{s1}_|{reg3?You find:{s1} finds} out the following:^{s3}
; qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} earned {reg0} experience.
; qstr_{s2}^{s1}_earned_an_|{s2}^{s1} earned an additional {reg0} experience.
; qstr_^You_earned_{reg0}_e|^You earned {reg0} experience.{s2}
; qstr_The_training_didn_t_|The training didn't go well at all.
; qstr_The_training_didn_t_g|The training didn't go very well.
; qstr_The_training_went_qu|The training went quite well.
; qstr_The_training_went_ve|The training went very well.
; qstr_The_training_went_pe|The training went perfectly.
